https://www.google.com.tw/maps/place/%E9%8C%A2%E9%83%BD%E6%97%A5%E5%BC%8F%E6%B6%AE%E6%B6%AE%E9%8D%8B-%E5%8F%B0%E5%8C%97%E5%B8%AB%E5%A4%A7%E5%BA%97+CHIEN+TU+HOT+POT/data=!4m7!3m6!1s0x3442a98fce4bc873:0x69812067caba5c2b!8m2!3d25.0225279!4d121.5264274!16s%2Fg%2F1tdvxlp9!19sChIJc8hLzo-pQjQRK1y6ymcggWk?authuser=0&hl=zh-TW&rclk=1,錢都日式涮涮鍋-台北師大店 CHIEN TU HOT POT,4.3,火鍋餐廳,2264.0,$$, 106台北市大安區羅斯福路三段95號,Plus Code: 2GFG+2H 大安區 台北市,1,1,0,1,星期二、11:00 到 02:00; 星期三、11:00 到 02:00; 星期四、11:00 到 02:00; 星期五、11:00 到 02:00; 星期六、11:00 到 02:00; 星期日、11:00 到 02:00; 星期一、11:00 到 02:00. 隱藏本週營業時間,http://www.chientu.com.tw/, 02 2364 1565,,2022-11-22,6896,大安區,4,2001-3000,"[1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",火鍋,25.0225279,121.5264274,4.0,3.7
https://www.google.com.tw/maps/place/945%E9%8D%8B+%E5%92%8C%E5%B9%B3%E5%BA%97/data=!4m7!3m6!1s0x3442abad35ba32eb:0xa32a4805d423b74d!8m2!3d25.0223458!4d121.5549095!16s%2Fg%2F11rkl2nrps!19sChIJ6zK6Na2rQjQRTbcj1AVIKqM?authuser=0&hl=zh-TW&rclk=1,945鍋 和平店,4.3,火鍋餐廳,32.0,, 110台北市信義區和平東路三段269號,Plus Code: 2HC3+WX 信義區 台北市,1,1,0,0,星期二、11:00 到 14:00、17:00 到 21:30; 星期三、11:00 到 14:00、17:00 到 21:30; 星期四、11:00 到 14:00、17:00 到 21:30; 星期五、11:00 到 14:00、17:00 到 21:30; 星期六、11:00 到 14:00、17:00 到 21:30; 星期日、11:00 到 14:00、17:00 到 21:30; 星期一、11:00 到 14:00、17:00 到 21:30. 隱藏本週營業時間,https://m.facebook.com/945%E9%8D%8B-100307401346249/, 02 2377 9595,,2022-11-22,6897,信義區,4,0-50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",火鍋,25.0223458,121.5549095,4.0,4.0
https://www.google.com.tw/maps/place/%E7%99%BB%E8%B1%90%E6%B8%AF%E5%BC%8F%E9%BA%BB%E8%BE%A3%E9%8D%8B/data=!4m7!3m6!1s0x3442abcb62871eff:0x2bc665e11813a6b9!8m2!3d25.0306148!4d121.5541218!16s%2Fg%2F1td4gtwg!19sChIJ_x6HYsurQjQRuaYTGOFlxis?authuser=0&hl=zh-TW&rclk=1,登豐港式麻辣鍋,3.3,火鍋餐廳,559.0,$$, 106台北市大安區通化街54號,Plus Code: 2HJ3+6J 大安區 台北市,1,1,0,1,星期二、12:00 到 04:00; 星期三、12:00 到 04:00; 星期四、12:00 到 04:00; 星期五、12:00 到 04:00; 星期六、12:00 到 04:00; 星期日、12:00 到 04:00; 星期一、12:00 到 04:00. 隱藏本週營業時間,https://www.facebook.com/pages/%E7%99%BB%E8%B1%90%E6%B8%AF%E5%BC%8F%E9%BA%BB%E8%BE%A3%E9%8D%8B/178371145531648, 02 2707 7018,,2022-11-22,6898,大安區,3,501-1000,"[1, 1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",火鍋,25.0306148,121.5541218,4.0,2.9
https://www.google.com.tw/maps/place/%E4%BD%B3%E5%AE%B6%E9%A6%99%E9%A6%99%E9%8D%8B/data=!4m7!3m6!1s0x3442aa2faaaaaaab:0x8e4ec03166e16608!8m2!3d25.0202387!4d121.5524301!16s%2Fg%2F11csq7f23d!19sChIJq6qqqi-qQjQRCGbhZjHATo4?authuser=0&hl=zh-TW&rclk=1,佳家香香鍋,3.9,火鍋餐廳,292.0,$, 106台北市大安區臥龍街151巷76號,Plus Code: 2HC2+3X 大安區 台北市,1,1,0,0,星期二、11:00 到 14:30、17:00 到 21:30; 星期三、11:00 到 14:30、17:00 到 21:30; 星期四、11:00 到 14:30、17:00 到 21:30; 星期五、11:00 到 14:30、17:00 到 21:30; 星期六、11:00 到 14:30、17:00 到 21:30; 星期日、11:00 到 14:30、17:00 到 21:30; 星期一、11:00 到 14:30、17:00 到 21:30. 隱藏本週營業時間,, 02 2732 7755,,2022-11-22,6899,大安區,4,201-500,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",火鍋,25.0202387,121.5524301,4.0,3.5
https://www.google.com.tw/maps/place/%E7%9F%B3%E4%BA%8C%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%AE%89%E5%B1%85%E5%BA%97/data=!4m7!3m6!1s0x3442aa30d2eee1f7:0x325bcfda52790fe0!8m2!3d25.0202666!4d121.5539517!16s%2Fg%2F113j6v1s0!19sChIJ9-Hu0jCqQjQR4A95UtrPWzI?authuser=0&hl=zh-TW&rclk=1,石二鍋 台北安居店,4.0,火鍋餐廳,1200.0,$$, 106台北市大安區安居街50號,Plus Code: 2HC3+4H 大安區 台北市,1,1,0,1,星期二、11:30 到 22:30; 星期三、11:30 到 22:30; 星期四、11:30 到 22:30; 星期五、11:30 到 22:30; 星期六、11:30 到 22:30; 星期日、11:30 到 22:30; 星期一、11:30 到 22:30. 隱藏本週營業時間,https://www.12hotpot.com.tw/, 02 2739 3298,,2022-11-22,6900,大安區,4,1001-2000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]",火鍋,25.0202666,121.5539517,4.0,3.3
https://www.google.com.tw/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E6%A8%82%E6%A5%AD%E5%BA%97/data=!4m7!3m6!1s0x3442ab54b482953f:0x249aab5c0a454fe8!8m2!3d25.0201576!4d121.5526593!16s%2Fg%2F11jclrzdx6!19sChIJP5WCtFSrQjQR6E9FClyrmiQ?authuser=0&hl=zh-TW&rclk=1,三媽臭臭鍋 樂業店,3.6,火鍋餐廳,228.0,$, 106台北市大安區臥龍街151巷33號1樓,Plus Code: 2HC3+33 大安區 台北市,1,1,0,1,星期二、11:30 到 14:30、16:30 到 20:30; 星期三、11:30 到 14:30、16:30 到 20:30; 星期四、11:30 到 14:30、16:30 到 20:30; 星期五、11:30 到 14:30、16:30 到 20:30; 星期六、11:30 到 20:30; 星期日、11:30 到 20:30; 星期一、11:30 到 14:30、16:30 到 20:30. 隱藏本週營業時間,, 02 2732 2217,,2022-11-22,6901,大安區,4,201-500,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",火鍋,25.0201576,121.5526593,4.0,3.1
https://www.google.com.tw/maps/place/%E7%9F%B3%E4%BA%8C%E9%8D%8B+%E5%8F%B0%E5%8C%97%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m7!3m6!1s0x3442abca5c9650c1:0x37920a3a2262ce83!8m2!3d25.0342716!4d121.5263402!16s%2Fg%2F1hjh3xt_v!19sChIJwVCWXMqrQjQRg85iIjoKkjc?authuser=0&hl=zh-TW&rclk=1,石二鍋 台北信義店,4.1,火鍋餐廳,1864.0,$$, 106台北市大安區信義路二段72號,Plus Code: 2GMG+PG 大安區 台北市,1,1,0,1,星期二、11:30 到 21:30; 星期三、11:30 到 21:30; 星期四、11:30 到 21:30; 星期五、11:30 到 22:00; 星期六、11:30 到 22:00; 星期日、11:30 到 22:00; 星期一、11:30 到 21:30. 隱藏本週營業時間,https://www.12hotpot.com.tw/, 02 2358 2776,,2022-11-22,6902,大安區,4,1001-2000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]",火鍋,25.0342716,121.5263402,4.0,3.5
https://www.google.com.tw/maps/place/%E5%A6%83%E9%8D%8B%E7%B2%BE%E7%B7%BB%E5%80%8B%E4%BA%BA%E5%B9%B3%E5%83%B9%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442ab41b44721d1:0xe2b69c5972cb142a!8m2!3d24.9985581!4d121.5569201!16s%2Fg%2F11fs7swk64!19sChIJ0SFHtEGrQjQRKhTLclmctuI?authuser=0&hl=zh-TW&rclk=1,妃鍋精緻個人平價鍋物,4.6,火鍋餐廳,416.0,$$, 116台北市文山區興隆路三段112巷4弄1號1樓,Plus Code: XHX4+CQ 文山區 台北市,1,1,0,0,星期二、休息; 星期三、11:30 到 14:00、17:00 到 21:00; 星期四、11:30 到 14:00、17:00 到 21:00; 星期五、11:30 到 14:00、17:00 到 21:00; 星期六、11:30 到 14:00、17:00 到 21:00; 星期日、11:30 到 14:00、17:00 到 21:00; 星期一、11:30 到 14:00、17:00 到 21:00. 隱藏本週營業時間,, 02 2933 0252,,2022-11-22,6903,文山區,5,201-500,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",火鍋,24.9985581,121.5569201,2.0,4.2
https://www.google.com.tw/maps/place/A%E5%AE%B0%E7%BE%8A%E7%BE%8A%E8%82%89%E5%B0%88%E8%B3%A3%E5%BA%97%EF%BC%88%E7%BE%8A%E8%82%89%E7%88%90%EF%BC%89/data=!4m7!3m6!1s0x3442aa30edaf75c5:0xa02e0d7b7ac23a56!8m2!3d25.0251712!4d121.5523904!16s%2Fg%2F1tdxhkq9!19sChIJxXWv7TCqQjQRVjrCensNLqA?authuser=0&hl=zh-TW&rclk=1,A宰羊羊肉專賣店（羊肉爐）,4.5,火鍋餐廳,405.0,$$, 106台北市大安區樂利路103號,Plus Code: 2HG2+3X 大安區 台北市,1,0,1,1,星期二、17:00 到 00:00; 星期三、17:00 到 00:00; 星期四、17:00 到 00:00; 星期五、17:00 到 00:00; 星期六、17:00 到 00:00; 星期日、17:00 到 00:00; 星期一、17:00 到 00:00. 隱藏本週營業時間,https://www.facebook.com/A%E5%AE%B0%E7%BE%8A-189404731090336/, 02 8732 6739,,2022-11-22,6904,大安區,4,201-500,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]",火鍋,25.0251712,121.5523904,4.0,4.4
https://www.google.com.tw/maps/place/%E8%88%9E%E9%B6%B4%E6%9D%91+%E5%B1%85%E9%85%92%E5%B1%8B/data=!4m7!3m6!1s0x3442ab46b2a1a92d:0x741a76c60a455525!8m2!3d25.0218631!4d121.5536779!16s%2Fg%2F11t5l52gn_!19sChIJLamhskarQjQRJVVFCsZ2GnQ?authuser=0&hl=zh-TW&rclk=1,舞鶴村 居酒屋,4.8,餐廳,36.0,, 106台北市大安區和平東路三段212巷27號,Plus Code: 2HC3+PF 大安區 台北市,1,0,1,0,星期二、17:30 到 00:00; 星期三、17:30 到 00:00; 星期四、17:30 到 00:00; 星期五、17:30 到 00:00; 星期六、17:30 到 00:00; 星期日、17:30 到 00:00; 星期一、休息. 隱藏本週營業時間,https://instagram.com/wuhe8888?igshid=YmMyMTA2M2Y=, 02 2732 7716,,2022-11-22,6905,大安區,5,0-50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1, 1, 1, 1, 1, 1, 1]",日式,25.0218631,121.5536779,4.0,4.5
