,店名,評論數,星級,標籤,價位,地址,電話,營業時間,網站
0,魚の棧(魚之棧),256,4.2,餐廳,, 103台北市大同區大龍街247號, 02 2598 2156,星期六、11:00 到 14:00、17:00 到 22:00; 星期日、11:00 到 14:00、17:00 到 22:00; 星期一、休息; 星期二、17:00 到 22:00; 星期三、11:00 到 14:00、17:00 到 22:00; 星期四、11:00 到 14:00、17:00 到 22:00; 星期五、11:00 到 14:00、17:00 到 22:00. 隱藏本週營業時間,https://www.facebook.com/669rgaqj
1,蕃茄妹小吃店,335,4.1,餐廳,$, 10369台北市大同區大龍街290號, 02 2591 8530,星期六、10:30 到 14:00、17:00 到 20:00; 星期日、休息; 星期一、10:30 到 14:00、17:00 到 20:00; 星期二、10:30 到 14:00、17:00 到 20:00; 星期三、10:30 到 14:00、17:00 到 20:00; 星期四、10:30 到 14:00、17:00 到 20:00; 星期五、10:30 到 14:00、17:00 到 20:00. 隱藏本週營業時間,https://www.facebook.com/tomatomeme25918530/
2,阿仁炒飯,"1,613",4.3,餐廳,$, 10368台北市大同區哈密街45巷2之4號, 02 2598 6747,星期六、11:00 到 14:15、17:00 到 20:30; 星期日、休息; 星期一、休息; 星期二、11:00 到 14:15、17:00 到 20:30; 星期三、11:00 到 14:15、17:00 到 20:30; 星期四、11:00 到 14:15、17:00 到 20:30; 星期五、11:00 到 14:15、17:00 到 20:30. 隱藏本週營業時間,https://www.facebook.com/%E9%98%BF%E4%BB%81%E7%82%92%E9%A3%AF-291250394402760/
3,•壹柒食堂•,73,5.0,餐廳,, 10362台北市大同區大龍街70號,,星期六、休息; 星期日、休息; 星期一、10:00 到 14:00; 星期二、10:00 到 14:00; 星期三、10:00 到 14:00; 星期四、10:00 到 14:00; 星期五、10:00 到 14:00. 隱藏本週營業時間,https://www.facebook.com/17ingood
4,巴八八小吃店,,4.5 星級  40 則評論,餐廳,, 103大同區大龍街278號, 02 2594 6785,,
5,鐵板城現炒（大龍店）,104,3.3,鐵板燒餐廳,$, 103台北市大同區大龍街278號, 02 2595 2302,星期六、10:00 到 20:00; 星期日、10:00 到 20:00; 星期一、10:00 到 20:00; 星期二、10:00 到 20:00; 星期三、10:00 到 20:00; 星期四、10:00 到 20:00; 星期五、10:00 到 20:00. 隱藏本週營業時間,https://www.facebook.com/tiebancheng/
6,李記雞窩/大同美食/大同雞肉/大同便當/大同小吃/大同餐廳/大同放山雞,65,4.5,雞肉店,, 103台北市大同區大龍街35號, 0952 222 891,星期六、10:30 到 14:00、16:30 到 19:00; 星期日、10:30 到 13:30; 星期一、休息; 星期二、10:30 到 14:00、16:30 到 19:00; 星期三、10:30 到 14:00、16:30 到 19:00; 星期四、10:30 到 14:00、16:30 到 19:00; 星期五、10:30 到 14:00、16:30 到 19:00. 隱藏本週營業時間,https://chickenchickenlee.com/
7,大牛牛排館,486,4.0,西餐廳,$, 103台北市大同區大龍街266號, 0922 769 668,星期六、11:40 到 22:00; 星期日、11:40 到 22:00; 星期一、休息; 星期二、11:40 到 15:00、17:00 到 22:00; 星期三、11:40 到 15:00、17:00 到 22:00; 星期四、11:40 到 15:00、17:00 到 22:00; 星期五、11:40 到 15:00、17:00 到 22:00. 隱藏本週營業時間,https://www.facebook.com/pages/%E5%A4%A7%E9%BE%8D%E8%A1%97%E5%A4%A7%E7%89%9B%E7%89%9B%E6%8E%92/347307378632635?fref=ts
8,大龍街香菇肉粥,164,3.8,粥餐廳,$, 103台北市大同區重慶北路三段307號,,星期六、06:00 到 13:30; 星期日、06:00 到 13:30; 星期一、休息; 星期二、06:00 到 13:30; 星期三、06:00 到 13:30; 星期四、06:00 到 13:30; 星期五、06:00 到 13:30. 隱藏本週營業時間,https://www.facebook.com/dalongcongee/
9,大龍廣東粥,13,4.9,早午餐餐廳,, 103台北市大同區大龍街110號, 02 2599 2885,星期六、10:00 到 20:00; 星期日、休息; 星期一、10:00 到 20:00; 星期二、10:00 到 20:00; 星期三、10:00 到 20:00; 星期四、10:00 到 20:00; 星期五、10:00 到 20:00. 隱藏本週營業時間,
10,大雄香雞翅,40,4.5,快餐店,, 103台北市大同區大龍街268號, 0928 380 726,星期六、14:00 到 22:00; 星期日、14:00 到 22:00; 星期一、14:00 到 22:00; 星期二、14:00 到 22:00; 星期三、14:00 到 22:00; 星期四、14:00 到 22:00; 星期五、14:00 到 22:00. 隱藏本週營業時間,https://www.facebook.com/aeh158
11,大龍峒肉羹-米粉湯,"1,111",4.0,台灣餐廳,$, 103台北市大同區重慶北路三段297號, 02 2596 7090,星期六、06:00 到 14:30; 星期日、06:00 到 14:30; 星期一、休息; 星期二、06:00 到 14:30; 星期三、06:00 到 14:30; 星期四、06:00 到 14:30; 星期五、06:00 到 14:30. 隱藏本週營業時間,
12,老地方牛肉麵食館,"1,107",4.4,中式麵食店,$, 103台北市大同區大龍街91巷33號, 02 2593 0903,星期六、11:30 到 20:30; 星期日、休息; 星期一、11:30 到 20:30; 星期二、11:30 到 20:30; 星期三、11:30 到 20:30; 星期四、11:30 到 20:30; 星期五、11:30 到 20:30. 隱藏本週營業時間,
13,炸G行家-大龍峒店（炸雞行家.美式炸雞.平價美食）,43,4.3,雞翼餐廳,, 103台北市大同區重慶北路三段335巷56號, 0906 133 035,星期六、10:30 到 20:00; 星期日、10:30 到 19:30; 星期一、10:30 到 19:30; 星期二、10:30 到 19:30; 星期三、10:30 到 19:30; 星期四、10:30 到 19:30; 星期五、10:30 到 19:30. 隱藏本週營業時間,https://fried1025.business.site/?utm_source=gmb&utm_medium=referral
