,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Sabrina,5,1 天前,"#扁魚沙茶鍋  
#冬菜清湯  
#溫體牛  
#松阪豬  
#墨魚丸  
#花枝漿  
  
想吃溫體牛的好去處  
離行天宮捷運站出口超近  
花枝漿可以吃到整塊花枝  
溫體牛牛好吃  
松阪豬也好吃  
湯頭也好喝～

",2022-11-21,https://www.google.com.tw/maps/place/%E3%80%90%E8%B5%A4%E5%93%A5%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%E3%80%91%E5%8F%B0%E5%8C%97%E7%81%AB%E9%8D%8B%EF%BD%9C%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%EF%BD%9C%E8%A1%8C%E5%A4%A9%E5%AE%AE%E7%BE%8E%E9%A3%9F%EF%BD%9C%E6%BA%AB%E9%AB%94%E7%89%9B+%E4%B8%AD%E5%B1%B1%E5%8D%80%E7%BE%8E%E9%A3%9F+%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9591c105d2f:0xb50bca700f98fa1!8m2!3d25.0616874!4d121.5338476!16s%2Fg%2F1s04dg1rn!19sChIJL10QHFmpQjQRoY_5AKe8UAs?authuser=0&hl=zh-TW&rclk=1,0x3442a9591c105d2f:0xb50bca700f98fa1
1,Yvonne Wei,5,1 天前,"基本款的牛肉丸好吃，有牛肉的甜味。玉米很甜。  
  
除了菜單上的需用點的，其他自行拿取，有些沒有分大小份，還是多人吃比較合適。

",2022-11-21,https://www.google.com.tw/maps/place/%E3%80%90%E8%B5%A4%E5%93%A5%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%E3%80%91%E5%8F%B0%E5%8C%97%E7%81%AB%E9%8D%8B%EF%BD%9C%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%EF%BD%9C%E8%A1%8C%E5%A4%A9%E5%AE%AE%E7%BE%8E%E9%A3%9F%EF%BD%9C%E6%BA%AB%E9%AB%94%E7%89%9B+%E4%B8%AD%E5%B1%B1%E5%8D%80%E7%BE%8E%E9%A3%9F+%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9591c105d2f:0xb50bca700f98fa1!8m2!3d25.0616874!4d121.5338476!16s%2Fg%2F1s04dg1rn!19sChIJL10QHFmpQjQRoY_5AKe8UAs?authuser=0&hl=zh-TW&rclk=1,0x3442a9591c105d2f:0xb50bca700f98fa1
2,Cheng Lydia,5,2 天前,"餐點太厲害了！溫體牛、沙茶醬，湯頭也是推推 再訪意願滿分！下次會再糾朋友來吃

",2022-11-21,https://www.google.com.tw/maps/place/%E3%80%90%E8%B5%A4%E5%93%A5%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%E3%80%91%E5%8F%B0%E5%8C%97%E7%81%AB%E9%8D%8B%EF%BD%9C%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%EF%BD%9C%E8%A1%8C%E5%A4%A9%E5%AE%AE%E7%BE%8E%E9%A3%9F%EF%BD%9C%E6%BA%AB%E9%AB%94%E7%89%9B+%E4%B8%AD%E5%B1%B1%E5%8D%80%E7%BE%8E%E9%A3%9F+%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9591c105d2f:0xb50bca700f98fa1!8m2!3d25.0616874!4d121.5338476!16s%2Fg%2F1s04dg1rn!19sChIJL10QHFmpQjQRoY_5AKe8UAs?authuser=0&hl=zh-TW&rclk=1,0x3442a9591c105d2f:0xb50bca700f98fa1
3,Tim Chen,4,5 天前,"食材新鮮，配的上它的偏高價位

",2022-11-21,https://www.google.com.tw/maps/place/%E3%80%90%E8%B5%A4%E5%93%A5%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%E3%80%91%E5%8F%B0%E5%8C%97%E7%81%AB%E9%8D%8B%EF%BD%9C%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%EF%BD%9C%E8%A1%8C%E5%A4%A9%E5%AE%AE%E7%BE%8E%E9%A3%9F%EF%BD%9C%E6%BA%AB%E9%AB%94%E7%89%9B+%E4%B8%AD%E5%B1%B1%E5%8D%80%E7%BE%8E%E9%A3%9F+%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9591c105d2f:0xb50bca700f98fa1!8m2!3d25.0616874!4d121.5338476!16s%2Fg%2F1s04dg1rn!19sChIJL10QHFmpQjQRoY_5AKe8UAs?authuser=0&hl=zh-TW&rclk=1,0x3442a9591c105d2f:0xb50bca700f98fa1
4,Jackie Kao,5,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E3%80%90%E8%B5%A4%E5%93%A5%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%E3%80%91%E5%8F%B0%E5%8C%97%E7%81%AB%E9%8D%8B%EF%BD%9C%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%EF%BD%9C%E8%A1%8C%E5%A4%A9%E5%AE%AE%E7%BE%8E%E9%A3%9F%EF%BD%9C%E6%BA%AB%E9%AB%94%E7%89%9B+%E4%B8%AD%E5%B1%B1%E5%8D%80%E7%BE%8E%E9%A3%9F+%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9591c105d2f:0xb50bca700f98fa1!8m2!3d25.0616874!4d121.5338476!16s%2Fg%2F1s04dg1rn!19sChIJL10QHFmpQjQRoY_5AKe8UAs?authuser=0&hl=zh-TW&rclk=1,0x3442a9591c105d2f:0xb50bca700f98fa1
5,曾銀太,5,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E3%80%90%E8%B5%A4%E5%93%A5%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%E3%80%91%E5%8F%B0%E5%8C%97%E7%81%AB%E9%8D%8B%EF%BD%9C%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%EF%BD%9C%E8%A1%8C%E5%A4%A9%E5%AE%AE%E7%BE%8E%E9%A3%9F%EF%BD%9C%E6%BA%AB%E9%AB%94%E7%89%9B+%E4%B8%AD%E5%B1%B1%E5%8D%80%E7%BE%8E%E9%A3%9F+%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9591c105d2f:0xb50bca700f98fa1!8m2!3d25.0616874!4d121.5338476!16s%2Fg%2F1s04dg1rn!19sChIJL10QHFmpQjQRoY_5AKe8UAs?authuser=0&hl=zh-TW&rclk=1,0x3442a9591c105d2f:0xb50bca700f98fa1
6,Felicia Peng,4,2 週前,"建議先訂位  
到了用餐時間人滿多的  
可以先選鍋的大小份量  
2人用餐點小鍋即可  
菜單上可以點肉品、火鍋料、青菜、海鮮  
如果份量不想要這麼大也可以到冰箱選  
上方有標示不同盤子的價格  
上鍋速度很快  
溫體牛肉涮3秒就可以吃了  
店家醬料台上有寫沙茶醬的建議調配  
店家的沙茶醬感覺有個花生味？  
是偏甜的口味  
個人沒有太喜歡偏甜的醬  
而且本身湯頭有沙茶味  
基本上煮完的食材不太需要沾醬  
  
蛤蜊新鮮  
魚片也好吃!  
蝦子不小心煮太熟  
友人滿喜歡他們家的溫體牛肉  
一次可以吃一整盤  
湯頭的沙茶味不會到很濃郁  
不過湯底煮到後面會變得滿甜的

",2022-11-21,https://www.google.com.tw/maps/place/%E3%80%90%E8%B5%A4%E5%93%A5%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%E3%80%91%E5%8F%B0%E5%8C%97%E7%81%AB%E9%8D%8B%EF%BD%9C%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%EF%BD%9C%E8%A1%8C%E5%A4%A9%E5%AE%AE%E7%BE%8E%E9%A3%9F%EF%BD%9C%E6%BA%AB%E9%AB%94%E7%89%9B+%E4%B8%AD%E5%B1%B1%E5%8D%80%E7%BE%8E%E9%A3%9F+%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9591c105d2f:0xb50bca700f98fa1!8m2!3d25.0616874!4d121.5338476!16s%2Fg%2F1s04dg1rn!19sChIJL10QHFmpQjQRoY_5AKe8UAs?authuser=0&hl=zh-TW&rclk=1,0x3442a9591c105d2f:0xb50bca700f98fa1
7,Ruby,3,2 週前,"就是火鍋店  
食材也新鮮，不過價格不是很親民  
整體上還可以

",2022-11-21,https://www.google.com.tw/maps/place/%E3%80%90%E8%B5%A4%E5%93%A5%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%E3%80%91%E5%8F%B0%E5%8C%97%E7%81%AB%E9%8D%8B%EF%BD%9C%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%EF%BD%9C%E8%A1%8C%E5%A4%A9%E5%AE%AE%E7%BE%8E%E9%A3%9F%EF%BD%9C%E6%BA%AB%E9%AB%94%E7%89%9B+%E4%B8%AD%E5%B1%B1%E5%8D%80%E7%BE%8E%E9%A3%9F+%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9591c105d2f:0xb50bca700f98fa1!8m2!3d25.0616874!4d121.5338476!16s%2Fg%2F1s04dg1rn!19sChIJL10QHFmpQjQRoY_5AKe8UAs?authuser=0&hl=zh-TW&rclk=1,0x3442a9591c105d2f:0xb50bca700f98fa1
8,周金明,5,3 週前,"火鍋湯頭不錯，沙茶醬也好吃，食材也不錯。

",2022-11-21,https://www.google.com.tw/maps/place/%E3%80%90%E8%B5%A4%E5%93%A5%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%E3%80%91%E5%8F%B0%E5%8C%97%E7%81%AB%E9%8D%8B%EF%BD%9C%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%EF%BD%9C%E8%A1%8C%E5%A4%A9%E5%AE%AE%E7%BE%8E%E9%A3%9F%EF%BD%9C%E6%BA%AB%E9%AB%94%E7%89%9B+%E4%B8%AD%E5%B1%B1%E5%8D%80%E7%BE%8E%E9%A3%9F+%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9591c105d2f:0xb50bca700f98fa1!8m2!3d25.0616874!4d121.5338476!16s%2Fg%2F1s04dg1rn!19sChIJL10QHFmpQjQRoY_5AKe8UAs?authuser=0&hl=zh-TW&rclk=1,0x3442a9591c105d2f:0xb50bca700f98fa1
9,Daphne Lin,5,3 週前,"好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E3%80%90%E8%B5%A4%E5%93%A5%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%E3%80%91%E5%8F%B0%E5%8C%97%E7%81%AB%E9%8D%8B%EF%BD%9C%E6%B1%95%E9%A0%AD%E7%81%AB%E9%8D%8B%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%EF%BD%9C%E8%A1%8C%E5%A4%A9%E5%AE%AE%E7%BE%8E%E9%A3%9F%EF%BD%9C%E6%BA%AB%E9%AB%94%E7%89%9B+%E4%B8%AD%E5%B1%B1%E5%8D%80%E7%BE%8E%E9%A3%9F+%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9591c105d2f:0xb50bca700f98fa1!8m2!3d25.0616874!4d121.5338476!16s%2Fg%2F1s04dg1rn!19sChIJL10QHFmpQjQRoY_5AKe8UAs?authuser=0&hl=zh-TW&rclk=1,0x3442a9591c105d2f:0xb50bca700f98fa1
