,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Miracle Chung,3,4 天前,"希望每個公園都能有定期滅蚊

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,0x3442a9672d4b0879:0xd311e4bcc0b5048d
1,森島宏志,5,4 天前,"遊樂場：小朋友愛玩  
  
洗手間：有清潔  
  
狗狗友善：狗狗喜歡

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,0x3442a9672d4b0879:0xd311e4bcc0b5048d
2,willy chen,4,1 週前,"《一江公園》位於一江街、四平街所圍成一個長方形公園，面積七百坪 ，此公園定位為人文藝術公園，係為紀念民國42年國共一江戰役英勇犧牲國軍而命名～  
  
［一江山島戰役］是民國44年（1955）1月18日上午7時許，中國人民解放軍與中華民國國軍於浙江省一江山島嶼上進行的戰役，此為解放軍首次陸海空三軍協同作戰～  
  
大舉進攻大陳島門戶一江山島，戰鬥歷時兩天，國軍一江山島上校指揮官王生明陣亡，副指揮官王輔弼被俘，解放軍佔領該島嶼；戰役結果迫使國軍進行大陳島撤退，中共並最終奪取浙東沿海全部島嶼～  
  
一個國家的誕生不容易，要走向民主、自由、和平、繁榮……更需要時間的淬鍊；自中華民國誕生以後，一路走來也是顛簸、坎坷，但願對岸早日能走向民主的康莊大道，唯有這樣進展才是兩岸百姓之福。

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,0x3442a9672d4b0879:0xd311e4bcc0b5048d
3,lisa ku,5,1 週前,"(由 Google 提供翻譯) 漂亮的公園有廁所  
  
(原始評論)  
Nice park have toilet

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,0x3442a9672d4b0879:0xd311e4bcc0b5048d
4,Lisa Tang,5,3 週前,"好喜歡這裡！離家近；可以散步；坐坐  
可惜公車有點髒

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,0x3442a9672d4b0879:0xd311e4bcc0b5048d
5,翁裕豐,5,3 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,0x3442a9672d4b0879:0xd311e4bcc0b5048d
6,R,4,1 個月前,"在松江路、四平街跟一江街的中間，中小型的社區型態公園，鬧中取靜而且環境乾淨，有摩托車停車格跟汽車停車格，有腳踏車租借處，有公廁可以使用  
  
周圍的樹木高大而且有定期在修剪，裡面有兒童的遊樂設施，白天的時候可以帶家裡小朋友過來玩耍，有遮陽避雨的涼亭，額外休息的椅子設置的也足夠，這裡可以走動的走道範圍蠻多的，拿來騎腳踏車或是跑步運動都可以，外圍的磚瓦走道跟公園裡的平地，拿來跑步運動空間也足夠  
  
清悠的環境，有空閒時間來這裡稍作休息也是不錯的，帶毛小孩過來放風也可以，晚上的時候要注意防蚊，能再增設更多草皮可以吸引更多人過來

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,0x3442a9672d4b0879:0xd311e4bcc0b5048d
7,Dennis Huang,3,1 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,0x3442a9672d4b0879:0xd311e4bcc0b5048d
8,szkuan,4,1 個月前,"有公用廁所、小孩遊戲區。周邊有咖啡店、便利商店、飲食小吃店，以及Youbike1.0和2.0。  
  
2022年10月初剛鋪新草皮，草地有些濕滑，帶小孩去要小心。

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,0x3442a9672d4b0879:0xd311e4bcc0b5048d
9,Salim Salim,5,1 個月前,"從上個禮拜，開始在淑珍，公園煥然一新。  
  
2022年10月1日

",2022-11-21,https://www.google.com.tw/maps/place/%E4%B8%80%E6%B1%9F%E5%85%AC%E5%9C%92/data=!4m7!3m6!1s0x3442a9672d4b0879:0xd311e4bcc0b5048d!8m2!3d25.0533335!4d121.5312932!16s%2Fg%2F1thq2_df!19sChIJeQhLLWepQjQRjQS1wLzkEdM?authuser=0&hl=zh-TW&rclk=1,0x3442a9672d4b0879:0xd311e4bcc0b5048d
