,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,william chiang,3,1 天前,"服務生有待加強

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
1,Carol,3,6 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
2,懶舌頭,4,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
3,吳小米,5,1 週前,"外帶一個海鮮粥，真的是無敵新鮮好吃，超讚的

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
4,陳怡辰,4,2 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
5,mandy Hung,3,3 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
6,陳柏翰,4,3 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
7,袁如瑩,5,4 週前,"從一開始菜單解說到用餐過程的服務都非常好，肉品海鮮甜點都有一定水準，生日送試管調酒很特別，來這裡慶生賓主盡歡，感受非常棒!

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
8,Miiilll,5,4 週前,"完完全全會想再訪的餐廳  
一開始看評論想說蛤蜊會很不新鮮但還是點了  
結果出乎預料之外 超新鮮！  
而且服務態度超好  
只是稍微碎念一下  
服務人員聽到就會過來解答 超棒的服務品質  
後面不小心吃超時了也完全沒有趕人 這點是大大大加分（有讓我們把餐點吃完真的太感謝  
菜盤多樣且新鮮 真的是少數很喜歡吃的火鍋店！  
壽星還會有肉盤或是生日歲數數量的試管調酒  
真的大推(ृ´͈ ᵕ `͈ ृ )

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
9,蔡宇星,5,1 個月前,"之前在忠孝店吃過三次  
第一次來中山吃  
一樣超棒  
最愛的是醬油居然是有加檸檬的非常非常讚啊啊啊啊
超級解膩，服務人員都非常親切～還有精油擦手濕巾好讚喔！牛奶鍋很讚喜歡，而且飲料居然是直接給整壺⋯⋯⋯真的棒透了  
唯一美中不足的是甜點的布朗尼不知為何送上來時巧克力是已經流出來的，之前在忠孝店用餐的時候沒有這個情形，而且流出來之外周遭還有一圈黃色的油～？奶油～？之類的，可能是加熱過頭吧！冰淇淋也有偏硬，但好吃就好  
願意回訪

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
10,Szuting Lin,4,1 個月前,"裝潢精緻，環境舒服，平日晚上用餐人不多  
食物普通但這次用餐沒點到調酒，下次還想來試試～

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
11,徐碩,4,1 個月前,"網美火鍋店  
食材新鮮  
點了海鮮總匯跟牛肉豬肉  
生日還有送shot杯調酒

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
12,易芷妤,5,1 個月前,"服務到位 最後還有煮粥服務  
稍微可惜的是雙人海鮮鍋裡的干貝和牡蠣不夠新鮮 吃起來不夠有鮮味

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
13,David Ye,5,1 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
14,黃嘎嘎,5,1 個月前,"享鍋我真的很推♥️  
每次朋友問我都推這間  
我有提早訂位 當天吃11:30  
原本想吃玫瑰松阪 但是當天說沒有了  
有點可惜  
但服務員一直過來跟我們說不好意思  
因為我看到別桌有  
服務態度真的超級好♥️（好像是叫Tina)  
當天因為時間較趕所以也沒有吃到甜點  
但光是肉就可以吃得很飽了  
還有必點就是 咖喱飯  
很好吃  
前面一開始還有精油讓你擦手很棒

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
15,Red,5,1 個月前,"位置不多，環境氣氛非常舒服。  
更重要的是，店員非常很貼心，介紹菜單和桌邊服務都很到位，就連廁所要打掃都會提醒客人使用小心XD 給人溫馨的感覺，店員服務態度大加分～希望可以保持下去！  
食材品質都很到位，點兩人套餐，可以吃飽，吃完以後不會非常撐，很舒服的一餐。  
希望不要太多人去吃，不然我就吃不到了哈哈XD

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
16,Chingwen Nicole,4,1 個月前,"海鮮食材真的很不錯，很新鮮！雖然我們人數較多，協助訂位的接線人員態度也都很棒、很有耐心；唯一比美中不足的部分：我先生客氣詢問其一男服務員多要一份餐具時，服務人員態度真的不是很友善，給餐具的時候「哐」很大聲放在我們桌上。我們可以理解各服務員較忙，所以現場詢問也都客客氣氣的；還是非常感謝店內人員的辛勞！  
  
親子友善程度：有提供兒童座椅，如攜較活潑的孩子較不適合

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
17,Kaden (Kaden),5,1 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
18,Teng Ruby,5,1 個月前,"來用餐兩次  
服務人員態度讓人很舒服  
這麼晚進來用餐依舊面對笑容~  
餐點部份菜盤豐盛，營養滿滿  
海鮮湯頭清甜~

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
19,郭寶妮（Bonnie KUO）,5,1 個月前,"「蔬菜爆量、海鮮肉品皆新鮮美味，  
從點餐、餐具到用餐過程皆能感受用心！」  
  
「從餐點到服務都能讓人感受到用心且有趣，  
適合閨蜜聚餐、情侶約會的精緻火鍋！」  
  
主食選擇豐富，從肉品、海鮮各種組合多種選擇，甚至人多還能選套餐外，菜盤能換成肉盤或蛤蠣，副食有咖哩飯、冬粉、烏龍麵及刀削麵可選擇，湯底則有海鮮、麻辣、昆布及牛奶等多種湯頭，每個人都能找到喜歡的形式。  
  
從忠孝店試營運開始喜歡這間店，第一次在中山旗艦店用餐，過程依舊喜歡，主要有幾點非常推薦：  
  
1\. 使用餐具顏值高且手感佳  
2\. 服務人員解說仔細且服務貼心  
3\. 食材新鮮到不沾醬就很鮮甜  
4\. 部分調酒很有創意且有趣  
  
屬於非常喜歡的寶藏店家，會持續回顧並期待會有不同驚喜與新餐點！

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
20,Schumi Nick,1,1 個月前,"這一星是給昨晚 油頭男服務人員，好聲好氣詢問：不好意思請問可以跟您拿一副餐具嗎？這邊少一副？隨後在那邊唸
你們人數是有多嗎？因為我是給剛好啊？我說就是少一副阿….隨後服務員送來，直接很不愉快的 把餐盤故意很大聲放到桌上，請問是在不爽什麼？？？？
好聲好氣跟你說話，是什麼態度？？？

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
21,林宜臻,5,1 個月前,"(由 Google 提供翻譯) 好吃  
  
(原始評論)  
Delicious

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
22,HT,3,1 個月前,"坐位一直有送餐的人經過，坐的很擠不舒服  
肉都講了還是超肥…  
其他品質都不錯，中規中矩

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
23,J Chang,3,1 個月前,"因為google review 的高評價，決定來試試。點了雙人享牛拼盤套餐，加一成服務費為$1,868.
菜盤新鮮，可是牛肉卻有點難咀嚼。愛吃牛肉的我們，對這樣的品質感到有點失望。最讓我們喜歡的竟然是附送的甜點跟飲料：熱巧克力蛋糕+冰淇淋；冬瓜檸檬冰沙。  
  
至於服務，則是有待加強。跟ㄧ位男服務生詢問加會員的入會禮是什麼，他用超快的速度講了四個，四選一。他可能每天重複講這四樣很多次，可是我們第一次來，他講那麼快，我們根本無法吸收，請他重複是哪四樣，他就用高分貝，彷彿我是重聽一樣的重複。他本身講話音量就不小，加上刻意再大聲，這樣的對待方式讓我感到很不舒服。決定不會再回去，所以也就沒有加會員。

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BA%AB+%E9%8D%8B%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a95e59b58799:0x7582d29b56aa55ec!8m2!3d25.0570874!4d121.522583!16s%2Fg%2F11r10tz10v!19sChIJmYe1WV6pQjQR7FWqVpvSgnU?authuser=0&hl=zh-TW&rclk=1,0x3442a95e59b58799:0x7582d29b56aa55ec
