,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,109機械乙16徐子謙,5,1 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,0x3442a94cf9464049:0xbb59e6a62199679f
1,洪文儀,5,2 天前,"點鍋有附一份小蔥油餅和涼拌冬粉，湯依舊美味，非常滿足

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,0x3442a94cf9464049:0xbb59e6a62199679f
2,馮艾瑪,5,2 天前,"鳳梨苦瓜湯底大推

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,0x3442a94cf9464049:0xbb59e6a62199679f
3,Gina Huang,2,3 天前,"以前在青島東路時很喜歡去買外帶  
後來搬到公司附近想說去買看看  
外帶餐150，鍋裡的肉大約只有小小三片，再加一個魚餃跟一個不知什麼很難吃的丸子，其他都酸白菜  
雖然有附一小盒飯跟冬粉，但這樣的鍋真的是太空虛了，看來應該要內用會比較有價值  
湯是真的很好喝，但總不能湯喝到飽吧

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,0x3442a94cf9464049:0xbb59e6a62199679f
4,酸檸檬,5,3 天前,"第一次來，酸菜乳酸菌原味鍋，酸酸的，服務人員態度親切，下次還會再來。

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,0x3442a94cf9464049:0xbb59e6a62199679f
5,Min,5,4 天前,"酸菜湯底特殊 菜盤都是蔬菜健康豐富 還有附酸菜冬粉和蔥油餅 好吃 玫瑰紅酒牛滿滿的香氣肉質好 CP值高

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,0x3442a94cf9464049:0xbb59e6a62199679f
6,Haha Wa,5,4 天前,"原味酸菜湯頭很天然好喝！侯黑青麻湯頭 麻而不辣很讚！  
  
菜盤沒有火鍋料！很健康風的火鍋店！

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,0x3442a94cf9464049:0xbb59e6a62199679f
7,呂奕芊,5,4 天前,"酸菜乳酸菌鍋底/板腱牛 套餐 $278  
  
套餐含菜盤、肉品、主食、一碟酸冬粉、兩片蔥油餅  
  
整個套餐的份量蠻大，女生可以吃超級飽  
酸冬粉很開胃解膩  
菜盤搭配很漂亮，而且沒有火鍋料  
酸菜湯底清爽，涮肉煮菜後整個湯很好喝  
板腱牛偏肥，感覺比較像是五花牛  
服務人員態度親切，唯一的缺點是高腳椅有夠難坐～  
  
整體cp值很高～下次想來吃青麻鍋底

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,0x3442a94cf9464049:0xbb59e6a62199679f
8,Shan,5,5 天前,"菜排.肉質.湯底都超讚！！！！！！  
份量吃得很飽很足夠  
超級推  
  
特殊餐點：酸菜乳酸鍋.侯黑青麻鍋湯頭都很好  
還有脆皮豬五花.梅花豬都超嫩！！！  
難得吃到品質良好的火鍋

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,0x3442a94cf9464049:0xbb59e6a62199679f
9,elephant cozy,5,1 週前,"青麻湯頭好吃，豬五花好吃。  
主廚特調醬味道很棒！

",2022-11-21,https://www.google.com.tw/maps/place/%E4%BE%AF%E9%BB%91%E9%8D%8B%E7%89%A9+%E9%85%B8%E8%8F%9C%E5%B0%8F%E7%81%AB%E9%8D%8B+Ho+Hey+Hot+Pot/data=!4m7!3m6!1s0x3442a94cf9464049:0xbb59e6a62199679f!8m2!3d25.0537444!4d121.5311369!16s%2Fg%2F11jyh2hmv0!19sChIJSUBG-UypQjQRn2eZIabmWbs?authuser=0&hl=zh-TW&rclk=1,0x3442a94cf9464049:0xbb59e6a62199679f
