,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,老〇大,4,2 週前,"營業到天亮

",2022-11-21,https://www.google.com.tw/maps/place/%E5%8A%A0%E8%B3%80%E5%B1%8B%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a96e27b2f6d1:0xc75902ab287144a5!8m2!3d25.0547202!4d121.5266648!16s%2Fg%2F11h7_n_49q!19sChIJ0fayJ26pQjQRpURxKKsCWcc?authuser=0&hl=zh-TW&rclk=1,0x3442a96e27b2f6d1:0xc75902ab287144a5
1,韓文立,5,1 個月前,"消夜來這吃 很不錯

",2022-11-21,https://www.google.com.tw/maps/place/%E5%8A%A0%E8%B3%80%E5%B1%8B%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a96e27b2f6d1:0xc75902ab287144a5!8m2!3d25.0547202!4d121.5266648!16s%2Fg%2F11h7_n_49q!19sChIJ0fayJ26pQjQRpURxKKsCWcc?authuser=0&hl=zh-TW&rclk=1,0x3442a96e27b2f6d1:0xc75902ab287144a5
2,潘榮祥,5,1 個月前,"好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E5%8A%A0%E8%B3%80%E5%B1%8B%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a96e27b2f6d1:0xc75902ab287144a5!8m2!3d25.0547202!4d121.5266648!16s%2Fg%2F11h7_n_49q!19sChIJ0fayJ26pQjQRpURxKKsCWcc?authuser=0&hl=zh-TW&rclk=1,0x3442a96e27b2f6d1:0xc75902ab287144a5
3,paggy chang,5,2 個月前,"吃過好多次都覺得很好吃  
最愛壽喜鍋+海陸(雪花牛超好吃❤️+鯛魚片超厚❤️)生雞蛋配上香氣濃郁的蘿蔔泥(據說是自己磨的不是叫便的)  
燙到7、8分熟的雪花牛裹上雞蛋蘿蔔泥，一口吃下 分啦

",2022-11-21,https://www.google.com.tw/maps/place/%E5%8A%A0%E8%B3%80%E5%B1%8B%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a96e27b2f6d1:0xc75902ab287144a5!8m2!3d25.0547202!4d121.5266648!16s%2Fg%2F11h7_n_49q!19sChIJ0fayJ26pQjQRpURxKKsCWcc?authuser=0&hl=zh-TW&rclk=1,0x3442a96e27b2f6d1:0xc75902ab287144a5
4,ChAos,2,2 個月前,"\- 菜盤小，其中多數又是火鍋料，火鍋料倒是品質滿好的：）。  
\- 肉盤又薄又少，完全沒有感覺到價位相應的底氣。  
\- 設備不好，開火有異音。  
\- 點餐一直趕著要先決定好、點湯底。  
\- 醬料是店家調好的「水果醬」，「果味」很淡，而且調出來的口味跟濃度個人覺得不適合搭配鍋物。  
\- 綜合以上，以小火鍋來說，不曉得為什麼可以生存那麼久。  
\- 一顆星是給綠豆湯，一顆星給菜的新鮮度。

",2022-11-21,https://www.google.com.tw/maps/place/%E5%8A%A0%E8%B3%80%E5%B1%8B%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a96e27b2f6d1:0xc75902ab287144a5!8m2!3d25.0547202!4d121.5266648!16s%2Fg%2F11h7_n_49q!19sChIJ0fayJ26pQjQRpURxKKsCWcc?authuser=0&hl=zh-TW&rclk=1,0x3442a96e27b2f6d1:0xc75902ab287144a5
5,祐董,1,3 個月前,"有待加強

",2022-11-21,https://www.google.com.tw/maps/place/%E5%8A%A0%E8%B3%80%E5%B1%8B%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a96e27b2f6d1:0xc75902ab287144a5!8m2!3d25.0547202!4d121.5266648!16s%2Fg%2F11h7_n_49q!19sChIJ0fayJ26pQjQRpURxKKsCWcc?authuser=0&hl=zh-TW&rclk=1,0x3442a96e27b2f6d1:0xc75902ab287144a5
6,shiau,5,3 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E5%8A%A0%E8%B3%80%E5%B1%8B%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a96e27b2f6d1:0xc75902ab287144a5!8m2!3d25.0547202!4d121.5266648!16s%2Fg%2F11h7_n_49q!19sChIJ0fayJ26pQjQRpURxKKsCWcc?authuser=0&hl=zh-TW&rclk=1,0x3442a96e27b2f6d1:0xc75902ab287144a5
7,Yuya Yoshimura,2,4 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E5%8A%A0%E8%B3%80%E5%B1%8B%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a96e27b2f6d1:0xc75902ab287144a5!8m2!3d25.0547202!4d121.5266648!16s%2Fg%2F11h7_n_49q!19sChIJ0fayJ26pQjQRpURxKKsCWcc?authuser=0&hl=zh-TW&rclk=1,0x3442a96e27b2f6d1:0xc75902ab287144a5
8,ZZ Zhang,1,4 個月前,"沒人手就不要硬開新熊貓然後做不出來

",2022-11-21,https://www.google.com.tw/maps/place/%E5%8A%A0%E8%B3%80%E5%B1%8B%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a96e27b2f6d1:0xc75902ab287144a5!8m2!3d25.0547202!4d121.5266648!16s%2Fg%2F11h7_n_49q!19sChIJ0fayJ26pQjQRpURxKKsCWcc?authuser=0&hl=zh-TW&rclk=1,0x3442a96e27b2f6d1:0xc75902ab287144a5
9,南部最龜DRG,2,4 個月前,"是好吃的 只是價位偏高 然後吃完隔天還一直拉肚子⋯

",2022-11-21,https://www.google.com.tw/maps/place/%E5%8A%A0%E8%B3%80%E5%B1%8B%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a96e27b2f6d1:0xc75902ab287144a5!8m2!3d25.0547202!4d121.5266648!16s%2Fg%2F11h7_n_49q!19sChIJ0fayJ26pQjQRpURxKKsCWcc?authuser=0&hl=zh-TW&rclk=1,0x3442a96e27b2f6d1:0xc75902ab287144a5
