,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,羅志堅,5,1 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E5%9A%AE%E8%BE%A3+%E5%92%8C%E7%89%9B%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E6%B1%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a94342e269a7:0x279d704e691345f3!8m2!3d25.0542505!4d121.5332802!16s%2Fg%2F11s0_44tjz!19sChIJp2niQkOpQjQR80UTaU5wnSc?authuser=0&hl=zh-TW&rclk=1,0x3442a94342e269a7:0x279d704e691345f3
1,黃郁婷,5,1 小時前,"好吃服務好

",2022-11-21,https://www.google.com.tw/maps/place/%E5%9A%AE%E8%BE%A3+%E5%92%8C%E7%89%9B%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E6%B1%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a94342e269a7:0x279d704e691345f3!8m2!3d25.0542505!4d121.5332802!16s%2Fg%2F11s0_44tjz!19sChIJp2niQkOpQjQR80UTaU5wnSc?authuser=0&hl=zh-TW&rclk=1,0x3442a94342e269a7:0x279d704e691345f3
2,潘月琴,5,1 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E5%9A%AE%E8%BE%A3+%E5%92%8C%E7%89%9B%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E6%B1%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a94342e269a7:0x279d704e691345f3!8m2!3d25.0542505!4d121.5332802!16s%2Fg%2F11s0_44tjz!19sChIJp2niQkOpQjQR80UTaU5wnSc?authuser=0&hl=zh-TW&rclk=1,0x3442a94342e269a7:0x279d704e691345f3
3,林月娥,5,1 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E5%9A%AE%E8%BE%A3+%E5%92%8C%E7%89%9B%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E6%B1%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a94342e269a7:0x279d704e691345f3!8m2!3d25.0542505!4d121.5332802!16s%2Fg%2F11s0_44tjz!19sChIJp2niQkOpQjQR80UTaU5wnSc?authuser=0&hl=zh-TW&rclk=1,0x3442a94342e269a7:0x279d704e691345f3
4,趙家萱,5,1 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E5%9A%AE%E8%BE%A3+%E5%92%8C%E7%89%9B%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E6%B1%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a94342e269a7:0x279d704e691345f3!8m2!3d25.0542505!4d121.5332802!16s%2Fg%2F11s0_44tjz!19sChIJp2niQkOpQjQR80UTaU5wnSc?authuser=0&hl=zh-TW&rclk=1,0x3442a94342e269a7:0x279d704e691345f3
5,phisut deachkoontod,4,3 小時前,"(由 Google 提供翻譯) 食物真的很好。麻辣湯也很棒，商店的設計也很有趣。請享用這頓飯，不要忘記預訂，因為排長隊  
  
(原始評論)  
Food is really good. Mala soup is also great and the design of the shop so
instragramable. Please enjoy the meal and dont forget to reserve cuz it has a
long line

",2022-11-21,https://www.google.com.tw/maps/place/%E5%9A%AE%E8%BE%A3+%E5%92%8C%E7%89%9B%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E6%B1%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a94342e269a7:0x279d704e691345f3!8m2!3d25.0542505!4d121.5332802!16s%2Fg%2F11s0_44tjz!19sChIJp2niQkOpQjQR80UTaU5wnSc?authuser=0&hl=zh-TW&rclk=1,0x3442a94342e269a7:0x279d704e691345f3
6,Attorney on a Journey (Blogger),5,5 小時前,"(由 Google 提供翻譯) 這個吃到飽的和牛麻辣燙（四川花椒）火鍋給我留下了深刻的印象。優質肉類選擇每人僅需 998
美元。對於台北來說，這項服務非常出色；我們不喜歡其中的 3
種雞尾酒（已包含在價格中），服務器只是將它們換成了我們想要的其他東西。海鮮也很新鮮。不要忘記為無限量的冰淇淋、珍珠奶茶和咖啡果凍、奶油布丁和奶油泡芙等糖果騰出空間。  
  
(原始評論)  
Very impressed by this all-you-can-eat wagyu mala (Sichuan peppercorn) hot
pot. The premium meat selection was only $998 a person. And the service was
phenomenal for Taipei; we didn’t like 3 of the cocktails (that were included
with the price) and the server simply switched them for something else we
wanted. The seafood is so fresh, too. Don’t forget to make room for unlimited
ice cream, pearl milk tea, and confectioneries like coffee jelly, panna cotta,
and cream puffs.

",2022-11-21,https://www.google.com.tw/maps/place/%E5%9A%AE%E8%BE%A3+%E5%92%8C%E7%89%9B%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E6%B1%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a94342e269a7:0x279d704e691345f3!8m2!3d25.0542505!4d121.5332802!16s%2Fg%2F11s0_44tjz!19sChIJp2niQkOpQjQR80UTaU5wnSc?authuser=0&hl=zh-TW&rclk=1,0x3442a94342e269a7:0x279d704e691345f3
7,Shem Yu,1,17 小時前,"從開始使用google評論至今，我都是儘量好評，我明白主觀容易產生偏見，因此我大部分評論都給出五星，模糊地帶會選擇不評價，也希望看到這則評論的人能明白，我給的一星評價是有理有據。  
  
11/20
晚間現場候位，店員通知有位子可以入座，讓我們入內先看菜單，卻在15分鐘後通知，前一組候位的客人雖然當下電話未接，系統簡訊通知沒回應，但是現在出現了，希望我們讓出位置。  
  
是沒有什麼問題，最終我們也以希望店家方便選擇走人，但心情真的很差，我們還提前回來現場等，等到的就是被趕走的待遇。

",2022-11-21,https://www.google.com.tw/maps/place/%E5%9A%AE%E8%BE%A3+%E5%92%8C%E7%89%9B%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E6%B1%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a94342e269a7:0x279d704e691345f3!8m2!3d25.0542505!4d121.5332802!16s%2Fg%2F11s0_44tjz!19sChIJp2niQkOpQjQR80UTaU5wnSc?authuser=0&hl=zh-TW&rclk=1,0x3442a94342e269a7:0x279d704e691345f3
8,yunxin,5,17 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E5%9A%AE%E8%BE%A3+%E5%92%8C%E7%89%9B%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E6%B1%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a94342e269a7:0x279d704e691345f3!8m2!3d25.0542505!4d121.5332802!16s%2Fg%2F11s0_44tjz!19sChIJp2niQkOpQjQR80UTaU5wnSc?authuser=0&hl=zh-TW&rclk=1,0x3442a94342e269a7:0x279d704e691345f3
9,tiffany,5,17 小時前,"麻辣鍋底辣得過癮，和牛鮮嫩涮個幾下就能入口，海鮮鮮味十足o(≧v≦)o

",2022-11-21,https://www.google.com.tw/maps/place/%E5%9A%AE%E8%BE%A3+%E5%92%8C%E7%89%9B%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9D%BE%E6%B1%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a94342e269a7:0x279d704e691345f3!8m2!3d25.0542505!4d121.5332802!16s%2Fg%2F11s0_44tjz!19sChIJp2niQkOpQjQR80UTaU5wnSc?authuser=0&hl=zh-TW&rclk=1,0x3442a94342e269a7:0x279d704e691345f3
