,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Ho Robecca,5,23 小時前,"小菜與火鍋主食相比，毫不遜色

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
1,周治豪,2,3 天前,"跟2年前差很多，餐具發現有小強，菜色也沒有之前來的美味

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
2,陳德馨,4,4 天前,"對無辣不歡的我而言，適得其所！...如酌料裡面的紅辣椒能提供朝天椒就更完美了！...

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
3,WY,3,4 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
4,Sadako Tzeng (貞子*品享樂.餐飲顧問),4,4 天前,"在大樓裡面的2F，平日晚上來吃，客人比較少。  
當天只看到一位經驗老道的大姐在服務外場，服務沒有打折  
  
個人覺得牛肉系列都一般，  
反而是豬肉跟羊肉很香，  
麻餅外酥脆內軟好吃，  
麻辣湯頭不會死辣，麻香辣香涮肉很夠味，  
蔬菜類也都很新鮮，  
Cold stone冰淇淋與飲料無限自取。  
  
環境整潔不錯，口味也都在水準之上，  
不過店內沒有放音樂，感覺稍微沉悶了一些。

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
5,張Apple,5,5 天前,"空間非常舒適寬敞，這是北市很多餐廳做不到的，所以不管其他，光是這點就值得給五顆星

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
6,chieh,2,6 天前,"小菜皮蛋好吃，但環境有點昏暗髒髒的，尤其是女廁，洗手台還有老鼠還是壁虎的大便，完全不敢進去...

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
7,劉品妤,4,6 天前,"我們總計8個人去吃，店家安排一個大圓桌， 可以點三個主鍋，我們選了麻辣牛， 啤酒鴨，和酸菜魚鍋， 酸菜魚真的湯頭很好， 麻辣牛不會辣只會麻，
啤酒鴨鴨肉很軟很嫩， 小菜必點海蜇皮， 麻餅， 我是覺得花生也很好吃， 月亮蝦餅也不錯， 建議要去吃的話，要多點人才能每樣都吃得到

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
8,10130262 10130262,2,1 週前,"餐具上有乾掉的蟑螂…地板黏黏的…  
11/13中午的男服務員口氣不太好

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
9,Huang Hsinchia,4,1 週前,"大推酸菜魚片火鍋，各種肉類下去川燙，滿滿的酸菜香氣非常好吃，且酸菜味道令人讚歎，唯美中不足是到最後湯頭會越來越鹹，不建議再加點酸菜。麻辣火鍋是讓我唯一感到有點遺憾，越煮越沒麻辣鍋香氣，開始覺得很好，但一直加高湯不加底料的結果是沒麻辣鍋的味道了，另外他們的小菜都非常有味道，本想給五星，少一顆星是麻辣鍋沒底料。

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
10,李佳欣,5,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
11,夏雪,5,1 週前,"餐點內容豐富，口味可以多樣選擇，吃到飽真的超讚的

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
12,莊鈞童,4,1 週前,"酸菜魚很好吃,水煮牛肉鍋也不錯,第一次看到多達15樣小菜的火鍋店

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
13,雷震,2,2 週前,"中午一進去坐下就發現桌子沒擦乾淨~很髒，還有服務員態度也沒很好，可是現場才幾桌又沒很忙，重點是我們點的海鮮類食材不新鮮，可惜了

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
14,Kevin Lee,4,2 週前,"食物豐富好吃，量大吃到飽。  
選擇眾多令人滿意

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
15,Max CHOU,5,2 週前,"好吃  
現在外面連鎖的火鍋根本不能比

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
16,薛宏昌,5,2 週前,"這次點了鴛鴦鍋（酸菜魚+水煮牛）  
口味吃起來還不錯  
酸菜魚還蠻推的  
湯頭好喝 夠味  
跟一般常見的火鍋，有做出區別  
想吃吃不一樣口味的  
可以來這邊試試

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
17,Martin Lee,5,2 週前,"味道是記憶中大陸的花椒+麻辣口味, 大陸的剁椒魚頭, 手撕包菜都是這樣的味道, 該有的都有, 吃的很開心 ^_^......

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
18,Yi Han,2,2 週前,"沒有像介紹的這麼好吃，唯一值得推薦的只有麻餅&冰淇淋，小菜也是感覺都冰過頭水水的不入味，其他餐點比普通還要再低一點分數

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
19,林木森,2,3 週前,"我也是老客人了，換來這地方是第一次來，才知道老闆捲土重來。  
  
魚肉有腥味是我沒辦法接受的。其他只能說中規中矩  
  
重點是：老闆我要提醒你一件事情，如果現在的新客人，覺得你的東西好吃給予很高的評價。但我只能說，他們可能沒有吃過你在忠孝東路那邊的時候，因為比起來，你在舊店的時候，品質更好，什麼都水準之上，現在….跟以前差很多。  
  
無論如何，希望老闆，能慢慢找回當初的水準

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
20,Samson Chang,5,3 週前,"超級好吃，小菜多樣。唯一美中不足就是會漏上菜要常常注意提醒。

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
21,Ting-Wei Dong,5,3 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
22,suliven Chen,4,4 週前,"中規中矩

",2022-11-21,https://www.google.com.tw/maps/place/%E5%B7%9D%E5%B7%B4%E5%AD%90%E7%81%AB%E9%8D%8B%E6%A8%93/data=!4m7!3m6!1s0x3442a91ef4a01dc5:0x859aa87d43931c4a!8m2!3d25.0612955!4d121.5334279!16s%2Fg%2F11gwh7sbyh!19sChIJxR2g9B6pQjQRShyTQ32omoU?authuser=0&hl=zh-TW&rclk=1,0x3442a91ef4a01dc5:0x859aa87d43931c4a
