,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Cassie Chuang,5,2 天前,"魚頭酸菜鍋好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9D%8E%E5%B0%8F%E5%A8%83%E9%8D%8B%E7%89%A9(%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B)/data=!4m7!3m6!1s0x3442ab1079889e25:0x4ea4efb048e0162!8m2!3d25.052658!4d121.541777!16s%2Fg%2F11pz1b2lg4!19sChIJJZ6IeRCrQjQRYgGOBPtO6gQ?authuser=0&hl=zh-TW&rclk=1,0x3442ab1079889e25:0x4ea4efb048e0162
1,Lun Lun,5,2 天前,"是外面吃不到的口味  
湯頭濃郁，食材也非常新鮮！  
會想再訪

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9D%8E%E5%B0%8F%E5%A8%83%E9%8D%8B%E7%89%A9(%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B)/data=!4m7!3m6!1s0x3442ab1079889e25:0x4ea4efb048e0162!8m2!3d25.052658!4d121.541777!16s%2Fg%2F11pz1b2lg4!19sChIJJZ6IeRCrQjQRYgGOBPtO6gQ?authuser=0&hl=zh-TW&rclk=1,0x3442ab1079889e25:0x4ea4efb048e0162
2,An An,5,4 天前,"味道很好，食材新鮮！來自廣東的特別料理，搭配酒剛剛好

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9D%8E%E5%B0%8F%E5%A8%83%E9%8D%8B%E7%89%A9(%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B)/data=!4m7!3m6!1s0x3442ab1079889e25:0x4ea4efb048e0162!8m2!3d25.052658!4d121.541777!16s%2Fg%2F11pz1b2lg4!19sChIJJZ6IeRCrQjQRYgGOBPtO6gQ?authuser=0&hl=zh-TW&rclk=1,0x3442ab1079889e25:0x4ea4efb048e0162
3,陳映雪,5,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%9D%8E%E5%B0%8F%E5%A8%83%E9%8D%8B%E7%89%A9(%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B)/data=!4m7!3m6!1s0x3442ab1079889e25:0x4ea4efb048e0162!8m2!3d25.052658!4d121.541777!16s%2Fg%2F11pz1b2lg4!19sChIJJZ6IeRCrQjQRYgGOBPtO6gQ?authuser=0&hl=zh-TW&rclk=1,0x3442ab1079889e25:0x4ea4efb048e0162
4,張欣龍,5,1 週前,"非常棒的美食

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9D%8E%E5%B0%8F%E5%A8%83%E9%8D%8B%E7%89%A9(%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B)/data=!4m7!3m6!1s0x3442ab1079889e25:0x4ea4efb048e0162!8m2!3d25.052658!4d121.541777!16s%2Fg%2F11pz1b2lg4!19sChIJJZ6IeRCrQjQRYgGOBPtO6gQ?authuser=0&hl=zh-TW&rclk=1,0x3442ab1079889e25:0x4ea4efb048e0162
5,chiu Isabella,5,1 週前,"好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9D%8E%E5%B0%8F%E5%A8%83%E9%8D%8B%E7%89%A9(%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B)/data=!4m7!3m6!1s0x3442ab1079889e25:0x4ea4efb048e0162!8m2!3d25.052658!4d121.541777!16s%2Fg%2F11pz1b2lg4!19sChIJJZ6IeRCrQjQRYgGOBPtO6gQ?authuser=0&hl=zh-TW&rclk=1,0x3442ab1079889e25:0x4ea4efb048e0162
6,Hsin-Yuan Michelle Chang,5,1 週前,"有特色，好吃！

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9D%8E%E5%B0%8F%E5%A8%83%E9%8D%8B%E7%89%A9(%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B)/data=!4m7!3m6!1s0x3442ab1079889e25:0x4ea4efb048e0162!8m2!3d25.052658!4d121.541777!16s%2Fg%2F11pz1b2lg4!19sChIJJZ6IeRCrQjQRYgGOBPtO6gQ?authuser=0&hl=zh-TW&rclk=1,0x3442ab1079889e25:0x4ea4efb048e0162
7,Kelly 。,5,1 週前,"

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9D%8E%E5%B0%8F%E5%A8%83%E9%8D%8B%E7%89%A9(%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B)/data=!4m7!3m6!1s0x3442ab1079889e25:0x4ea4efb048e0162!8m2!3d25.052658!4d121.541777!16s%2Fg%2F11pz1b2lg4!19sChIJJZ6IeRCrQjQRYgGOBPtO6gQ?authuser=0&hl=zh-TW&rclk=1,0x3442ab1079889e25:0x4ea4efb048e0162
8,翁小恩,5,2 週前,"在門口就聞到很香的味道，老闆跟老闆娘都很親切，豬肚雞煲配科學麵超好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9D%8E%E5%B0%8F%E5%A8%83%E9%8D%8B%E7%89%A9(%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B)/data=!4m7!3m6!1s0x3442ab1079889e25:0x4ea4efb048e0162!8m2!3d25.052658!4d121.541777!16s%2Fg%2F11pz1b2lg4!19sChIJJZ6IeRCrQjQRYgGOBPtO6gQ?authuser=0&hl=zh-TW&rclk=1,0x3442ab1079889e25:0x4ea4efb048e0162
9,張維,5,2 週前,"湯頭愛好者 一定要來這嚐嚐外頭吃不到的口味  
獨特 風味好吃  

",2022-11-21,https://www.google.com.tw/maps/place/%E6%9D%8E%E5%B0%8F%E5%A8%83%E9%8D%8B%E7%89%A9(%E7%89%B9%E8%89%B2%E7%81%AB%E9%8D%8B)/data=!4m7!3m6!1s0x3442ab1079889e25:0x4ea4efb048e0162!8m2!3d25.052658!4d121.541777!16s%2Fg%2F11pz1b2lg4!19sChIJJZ6IeRCrQjQRYgGOBPtO6gQ?authuser=0&hl=zh-TW&rclk=1,0x3442ab1079889e25:0x4ea4efb048e0162
