,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,蔡瓊英,1,4 週前,"看網站上的套餐感覺還不錯  
但坐下來點餐時  
老闆說今天只有賣  
豬腳套餐和百菇素食套餐  
這兩樣我都不喜歡  
心想那就點個豆花吧  
老闆說低消ㄧ定要點飲料  
不能點豆花  
朋友想點豆花當套餐附贈的飲品  
也不行 一定必須是飲料  
我覺得自己進了一家黑店！

",2022-11-15,https://www.google.com.tw/maps/place/%E6%9E%9C%E7%84%B6%E6%96%87%E5%89%B5/data=!4m7!3m6!1s0x3442a94a1bfa68c7:0x8bb33009af6ec818!8m2!3d25.0750043!4d121.5151788!16s%2Fg%2F11c1vpq6pc!19sChIJx2j6G0qpQjQRGMhurwkws4s?authuser=0&hl=zh-TW&rclk=1,0x3442a94a1bfa68c7:0x8bb33009af6ec818
1,TSAIPOAN,5,1 個月前,"沒來過果然文創就不能說你來過大龍洞

",2022-11-15,https://www.google.com.tw/maps/place/%E6%9E%9C%E7%84%B6%E6%96%87%E5%89%B5/data=!4m7!3m6!1s0x3442a94a1bfa68c7:0x8bb33009af6ec818!8m2!3d25.0750043!4d121.5151788!16s%2Fg%2F11c1vpq6pc!19sChIJx2j6G0qpQjQRGMhurwkws4s?authuser=0&hl=zh-TW&rclk=1,0x3442a94a1bfa68c7:0x8bb33009af6ec818
2,胡永佳,5,1 個月前,"招牌粉圓豆花非常好吃，我平常不吃豆花的也覺得不錯！  
老闆娘人很熱情，一直介紹店的故事！餐點建議要先打電話訂，數量有限要吃要訂比較保險！

",2022-11-15,https://www.google.com.tw/maps/place/%E6%9E%9C%E7%84%B6%E6%96%87%E5%89%B5/data=!4m7!3m6!1s0x3442a94a1bfa68c7:0x8bb33009af6ec818!8m2!3d25.0750043!4d121.5151788!16s%2Fg%2F11c1vpq6pc!19sChIJx2j6G0qpQjQRGMhurwkws4s?authuser=0&hl=zh-TW&rclk=1,0x3442a94a1bfa68c7:0x8bb33009af6ec818
3,Jerry Sun,5,1 個月前,"豆花神厲害，豆花不會死甜，有層次感的口感，又非常新鮮甜口，店家裝潢風格非常有特色老闆又帥，非常推薦來此體驗。

",2022-11-15,https://www.google.com.tw/maps/place/%E6%9E%9C%E7%84%B6%E6%96%87%E5%89%B5/data=!4m7!3m6!1s0x3442a94a1bfa68c7:0x8bb33009af6ec818!8m2!3d25.0750043!4d121.5151788!16s%2Fg%2F11c1vpq6pc!19sChIJx2j6G0qpQjQRGMhurwkws4s?authuser=0&hl=zh-TW&rclk=1,0x3442a94a1bfa68c7:0x8bb33009af6ec818
4,黃翊庭,5,2 個月前,"意外發現的好店

",2022-11-15,https://www.google.com.tw/maps/place/%E6%9E%9C%E7%84%B6%E6%96%87%E5%89%B5/data=!4m7!3m6!1s0x3442a94a1bfa68c7:0x8bb33009af6ec818!8m2!3d25.0750043!4d121.5151788!16s%2Fg%2F11c1vpq6pc!19sChIJx2j6G0qpQjQRGMhurwkws4s?authuser=0&hl=zh-TW&rclk=1,0x3442a94a1bfa68c7:0x8bb33009af6ec818
5,Chu Gu,5,2 個月前,"服務好，餐點不錯吃，座位不多，但沒有趕客人，好顧客看客人多時，會主動離開。  
水果鬆餅大盤，可分享時用。  
豆花有古早味，午餐素食菇菇是三杯口味，很下飯，雞腿及豬腳都好吃，基本上餐盤上的配菜都一樣，只有主菜不同。

",2022-11-15,https://www.google.com.tw/maps/place/%E6%9E%9C%E7%84%B6%E6%96%87%E5%89%B5/data=!4m7!3m6!1s0x3442a94a1bfa68c7:0x8bb33009af6ec818!8m2!3d25.0750043!4d121.5151788!16s%2Fg%2F11c1vpq6pc!19sChIJx2j6G0qpQjQRGMhurwkws4s?authuser=0&hl=zh-TW&rclk=1,0x3442a94a1bfa68c7:0x8bb33009af6ec818
6,Terry CHE,5,2 個月前,"推！隱藏版好店  
很有特色的店，東西好吃

",2022-11-15,https://www.google.com.tw/maps/place/%E6%9E%9C%E7%84%B6%E6%96%87%E5%89%B5/data=!4m7!3m6!1s0x3442a94a1bfa68c7:0x8bb33009af6ec818!8m2!3d25.0750043!4d121.5151788!16s%2Fg%2F11c1vpq6pc!19sChIJx2j6G0qpQjQRGMhurwkws4s?authuser=0&hl=zh-TW&rclk=1,0x3442a94a1bfa68c7:0x8bb33009af6ec818
7,Jessica Lu,5,3 個月前,"舒適 + 懷古 + 美食  
  
特殊餐點：豆花好好吃

",2022-11-15,https://www.google.com.tw/maps/place/%E6%9E%9C%E7%84%B6%E6%96%87%E5%89%B5/data=!4m7!3m6!1s0x3442a94a1bfa68c7:0x8bb33009af6ec818!8m2!3d25.0750043!4d121.5151788!16s%2Fg%2F11c1vpq6pc!19sChIJx2j6G0qpQjQRGMhurwkws4s?authuser=0&hl=zh-TW&rclk=1,0x3442a94a1bfa68c7:0x8bb33009af6ec818
8,黃佩雯,5,3 個月前,"餐點實在，好吃  
服務熱忱貼心  
老闆用心耕耘在地歷史人文  
定時帶歷史導覽，值得一來

",2022-11-15,https://www.google.com.tw/maps/place/%E6%9E%9C%E7%84%B6%E6%96%87%E5%89%B5/data=!4m7!3m6!1s0x3442a94a1bfa68c7:0x8bb33009af6ec818!8m2!3d25.0750043!4d121.5151788!16s%2Fg%2F11c1vpq6pc!19sChIJx2j6G0qpQjQRGMhurwkws4s?authuser=0&hl=zh-TW&rclk=1,0x3442a94a1bfa68c7:0x8bb33009af6ec818
9,Ray,5,6 個月前,"很有溫度的店  
東西也好吃

",2022-11-15,https://www.google.com.tw/maps/place/%E6%9E%9C%E7%84%B6%E6%96%87%E5%89%B5/data=!4m7!3m6!1s0x3442a94a1bfa68c7:0x8bb33009af6ec818!8m2!3d25.0750043!4d121.5151788!16s%2Fg%2F11c1vpq6pc!19sChIJx2j6G0qpQjQRGMhurwkws4s?authuser=0&hl=zh-TW&rclk=1,0x3442a94a1bfa68c7:0x8bb33009af6ec818
