,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Clark Chiu,5,6 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%B6%B4%E5%92%8C%E7%89%9B%E7%81%AB%E9%8D%8B(%E5%90%89%E6%9E%97%E7%B8%BD%E5%BA%97)/data=!4m7!3m6!1s0x3442a95c38e2a243:0xbf3470cef591a40d!8m2!3d25.059191!4d121.5300402!16s%2Fg%2F11g6n__7__!19sChIJQ6LiOFypQjQRDaSR9c5wNL8?authuser=0&hl=zh-TW&rclk=1,0x3442a95c38e2a243:0xbf3470cef591a40d
1,haren su,5,1 天前,"晚餐時段  
支付方式：現金支付、刷卡  
  
菜單有套餐與吃到飽，可以看一下對內容那個有興趣，套餐也看起來很好吃。  
  
肉類特推日本和牛、美國牛小排和伊比利豬，澳洲和牛比較不推。後來加點了日本F1國產牛還蠻不錯的，肉味足油花也很好。  
  
海鮮部分  
草蝦超好吃，店員有空會過來幫你剝好，剝的又快又漂亮。讚！  
草蝦、生蠔、小卷連發的爽度十足，超級推薦。  
  
店裡不大，建議先訂位。這樣價位能夠大口吃肉吃海鮮很棒。

",2022-11-21,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%B6%B4%E5%92%8C%E7%89%9B%E7%81%AB%E9%8D%8B(%E5%90%89%E6%9E%97%E7%B8%BD%E5%BA%97)/data=!4m7!3m6!1s0x3442a95c38e2a243:0xbf3470cef591a40d!8m2!3d25.059191!4d121.5300402!16s%2Fg%2F11g6n__7__!19sChIJQ6LiOFypQjQRDaSR9c5wNL8?authuser=0&hl=zh-TW&rclk=1,0x3442a95c38e2a243:0xbf3470cef591a40d
2,Justin Chen,5,1 天前,"晚上就是要吃hot pot

",2022-11-21,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%B6%B4%E5%92%8C%E7%89%9B%E7%81%AB%E9%8D%8B(%E5%90%89%E6%9E%97%E7%B8%BD%E5%BA%97)/data=!4m7!3m6!1s0x3442a95c38e2a243:0xbf3470cef591a40d!8m2!3d25.059191!4d121.5300402!16s%2Fg%2F11g6n__7__!19sChIJQ6LiOFypQjQRDaSR9c5wNL8?authuser=0&hl=zh-TW&rclk=1,0x3442a95c38e2a243:0xbf3470cef591a40d
3,熊貓君,5,2 天前,"和牛好吃 澳牛好吃 松阪豬好吃 帥哥美女服務員人很好

",2022-11-21,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%B6%B4%E5%92%8C%E7%89%9B%E7%81%AB%E9%8D%8B(%E5%90%89%E6%9E%97%E7%B8%BD%E5%BA%97)/data=!4m7!3m6!1s0x3442a95c38e2a243:0xbf3470cef591a40d!8m2!3d25.059191!4d121.5300402!16s%2Fg%2F11g6n__7__!19sChIJQ6LiOFypQjQRDaSR9c5wNL8?authuser=0&hl=zh-TW&rclk=1,0x3442a95c38e2a243:0xbf3470cef591a40d
4,alvin tsai,5,3 天前,"好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%B6%B4%E5%92%8C%E7%89%9B%E7%81%AB%E9%8D%8B(%E5%90%89%E6%9E%97%E7%B8%BD%E5%BA%97)/data=!4m7!3m6!1s0x3442a95c38e2a243:0xbf3470cef591a40d!8m2!3d25.059191!4d121.5300402!16s%2Fg%2F11g6n__7__!19sChIJQ6LiOFypQjQRDaSR9c5wNL8?authuser=0&hl=zh-TW&rclk=1,0x3442a95c38e2a243:0xbf3470cef591a40d
5,鐘振彰,5,3 天前,"東西新鮮 好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%B6%B4%E5%92%8C%E7%89%9B%E7%81%AB%E9%8D%8B(%E5%90%89%E6%9E%97%E7%B8%BD%E5%BA%97)/data=!4m7!3m6!1s0x3442a95c38e2a243:0xbf3470cef591a40d!8m2!3d25.059191!4d121.5300402!16s%2Fg%2F11g6n__7__!19sChIJQ6LiOFypQjQRDaSR9c5wNL8?authuser=0&hl=zh-TW&rclk=1,0x3442a95c38e2a243:0xbf3470cef591a40d
6,馮文暄,5,4 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%B6%B4%E5%92%8C%E7%89%9B%E7%81%AB%E9%8D%8B(%E5%90%89%E6%9E%97%E7%B8%BD%E5%BA%97)/data=!4m7!3m6!1s0x3442a95c38e2a243:0xbf3470cef591a40d!8m2!3d25.059191!4d121.5300402!16s%2Fg%2F11g6n__7__!19sChIJQ6LiOFypQjQRDaSR9c5wNL8?authuser=0&hl=zh-TW&rclk=1,0x3442a95c38e2a243:0xbf3470cef591a40d
7,翁笙紘,5,4 天前,"真不錯

",2022-11-21,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%B6%B4%E5%92%8C%E7%89%9B%E7%81%AB%E9%8D%8B(%E5%90%89%E6%9E%97%E7%B8%BD%E5%BA%97)/data=!4m7!3m6!1s0x3442a95c38e2a243:0xbf3470cef591a40d!8m2!3d25.059191!4d121.5300402!16s%2Fg%2F11g6n__7__!19sChIJQ6LiOFypQjQRDaSR9c5wNL8?authuser=0&hl=zh-TW&rclk=1,0x3442a95c38e2a243:0xbf3470cef591a40d
8,古庭達,5,4 天前,"真的很好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%B6%B4%E5%92%8C%E7%89%9B%E7%81%AB%E9%8D%8B(%E5%90%89%E6%9E%97%E7%B8%BD%E5%BA%97)/data=!4m7!3m6!1s0x3442a95c38e2a243:0xbf3470cef591a40d!8m2!3d25.059191!4d121.5300402!16s%2Fg%2F11g6n__7__!19sChIJQ6LiOFypQjQRDaSR9c5wNL8?authuser=0&hl=zh-TW&rclk=1,0x3442a95c38e2a243:0xbf3470cef591a40d
9,黃冠翔,5,1 週前,"服務親切，食材新鮮

",2022-11-21,https://www.google.com.tw/maps/place/%E6%AD%A6%E9%B6%B4%E5%92%8C%E7%89%9B%E7%81%AB%E9%8D%8B(%E5%90%89%E6%9E%97%E7%B8%BD%E5%BA%97)/data=!4m7!3m6!1s0x3442a95c38e2a243:0xbf3470cef591a40d!8m2!3d25.059191!4d121.5300402!16s%2Fg%2F11g6n__7__!19sChIJQ6LiOFypQjQRDaSR9c5wNL8?authuser=0&hl=zh-TW&rclk=1,0x3442a95c38e2a243:0xbf3470cef591a40d
