,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,劉曉秋,5,3 小時前,"食材新鮮  
湯頭讚

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%BB%BE+Rolling+Thai+%E6%B3%B0%E5%BC%8F%E7%81%AB%E9%8D%8B(%E5%8D%97%E4%BA%AC%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a92d1ef9ab8d:0x9b927be9c0695588!8m2!3d25.0518054!4d121.5350793!16s%2Fg%2F11h6mmdgbl!19sChIJjav5Hi2pQjQRiFVpwOl7kps?authuser=0&hl=zh-TW&rclk=1,0x3442a92d1ef9ab8d:0x9b927be9c0695588
1,Ting,3,7 小時前,"湯底不錯，喜歡濃郁的冬蔭功。  
服務方面，從一般員工到穿黑衣服的小主管態度都很冷淡，收盤時沒有說一聲走過就隨手拿走。食物方面，點了雙人奢華餐，肉的品質不錯，但海鮮的表現很普通，特別是鯛魚片有土味，令人失望，點肉類的套餐或單點就好，以雙人餐近2200的價格，整體的食物品質、服務都讓人沒有感到符合這價格的價值。

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%BB%BE+Rolling+Thai+%E6%B3%B0%E5%BC%8F%E7%81%AB%E9%8D%8B(%E5%8D%97%E4%BA%AC%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a92d1ef9ab8d:0x9b927be9c0695588!8m2!3d25.0518054!4d121.5350793!16s%2Fg%2F11h6mmdgbl!19sChIJjav5Hi2pQjQRiFVpwOl7kps?authuser=0&hl=zh-TW&rclk=1,0x3442a92d1ef9ab8d:0x9b927be9c0695588
2,Isaac Xia,5,15 小時前,"意味地很好吃！  
  
完全不會膩！大推！  
  
（當月壽星幾歲就送幾隻蝦）

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%BB%BE+Rolling+Thai+%E6%B3%B0%E5%BC%8F%E7%81%AB%E9%8D%8B(%E5%8D%97%E4%BA%AC%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a92d1ef9ab8d:0x9b927be9c0695588!8m2!3d25.0518054!4d121.5350793!16s%2Fg%2F11h6mmdgbl!19sChIJjav5Hi2pQjQRiFVpwOl7kps?authuser=0&hl=zh-TW&rclk=1,0x3442a92d1ef9ab8d:0x9b927be9c0695588
3,jessica wang,4,20 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%BB%BE+Rolling+Thai+%E6%B3%B0%E5%BC%8F%E7%81%AB%E9%8D%8B(%E5%8D%97%E4%BA%AC%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a92d1ef9ab8d:0x9b927be9c0695588!8m2!3d25.0518054!4d121.5350793!16s%2Fg%2F11h6mmdgbl!19sChIJjav5Hi2pQjQRiFVpwOl7kps?authuser=0&hl=zh-TW&rclk=1,0x3442a92d1ef9ab8d:0x9b927be9c0695588
4,廖佑霖,5,23 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%BB%BE+Rolling+Thai+%E6%B3%B0%E5%BC%8F%E7%81%AB%E9%8D%8B(%E5%8D%97%E4%BA%AC%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a92d1ef9ab8d:0x9b927be9c0695588!8m2!3d25.0518054!4d121.5350793!16s%2Fg%2F11h6mmdgbl!19sChIJjav5Hi2pQjQRiFVpwOl7kps?authuser=0&hl=zh-TW&rclk=1,0x3442a92d1ef9ab8d:0x9b927be9c0695588
5,Wayne Fang,5,1 天前,"用手機掃碼點餐(肚肚餐飲管理系統)，價格略高，整體來說算是還不錯。  
  
雙人重量級(暴龍鍋) 1824元  
✯椰奶雞鍋底  
✯泰拳蝦餅2顆：搭配沾醬吃起來蠻好吃的。  
✯銷魂雞油飯  
✯漫活野蔬：高麗菜、金針菇、黑木耳、玉米、花椰菜等，很少看到有花椰菜，感覺蠻有趣的。  
✯去骨鮮牛：牛肉一盤20oz，對我和同行的友人來說蠻大盤的，肉質算是不錯。  
✯綜合火鍋料：有花枝丸、黃金魚蛋、手工蒸餃、泰Q米血糕和蟹肉棒，個人覺得蒸餃吃起來蠻特別的。  
✯仙草泰式奶茶：另外還有點泰式奶茶，個人覺得加了仙草的比較好喝，喝起來有另一番風味，更加不會膩口。  
  
✯沾醬：中間是青檸、左為偏辣的酸辣醬，右邊為酸甜醬，青寧的比較清爽，個人覺得左邊的很適合拿來沾肉吃。  
  
\-----------------------------------------  
支付：現金/信用卡  
發票：電子發票(可存載具)

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%BB%BE+Rolling+Thai+%E6%B3%B0%E5%BC%8F%E7%81%AB%E9%8D%8B(%E5%8D%97%E4%BA%AC%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a92d1ef9ab8d:0x9b927be9c0695588!8m2!3d25.0518054!4d121.5350793!16s%2Fg%2F11h6mmdgbl!19sChIJjav5Hi2pQjQRiFVpwOl7kps?authuser=0&hl=zh-TW&rclk=1,0x3442a92d1ef9ab8d:0x9b927be9c0695588
6,Bobby C,4,2 天前,"昏暗的燈光是店家的特色。裝娃娃菜的那小購物車好可愛

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%BB%BE+Rolling+Thai+%E6%B3%B0%E5%BC%8F%E7%81%AB%E9%8D%8B(%E5%8D%97%E4%BA%AC%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a92d1ef9ab8d:0x9b927be9c0695588!8m2!3d25.0518054!4d121.5350793!16s%2Fg%2F11h6mmdgbl!19sChIJjav5Hi2pQjQRiFVpwOl7kps?authuser=0&hl=zh-TW&rclk=1,0x3442a92d1ef9ab8d:0x9b927be9c0695588
7,Borong Lin,4,2 天前,"包餡的油條很好吃，拿下去煮吸滿湯汁也很不錯

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%BB%BE+Rolling+Thai+%E6%B3%B0%E5%BC%8F%E7%81%AB%E9%8D%8B(%E5%8D%97%E4%BA%AC%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a92d1ef9ab8d:0x9b927be9c0695588!8m2!3d25.0518054!4d121.5350793!16s%2Fg%2F11h6mmdgbl!19sChIJjav5Hi2pQjQRiFVpwOl7kps?authuser=0&hl=zh-TW&rclk=1,0x3442a92d1ef9ab8d:0x9b927be9c0695588
8,澔,5,2 天前,"好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%BB%BE+Rolling+Thai+%E6%B3%B0%E5%BC%8F%E7%81%AB%E9%8D%8B(%E5%8D%97%E4%BA%AC%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a92d1ef9ab8d:0x9b927be9c0695588!8m2!3d25.0518054!4d121.5350793!16s%2Fg%2F11h6mmdgbl!19sChIJjav5Hi2pQjQRiFVpwOl7kps?authuser=0&hl=zh-TW&rclk=1,0x3442a92d1ef9ab8d:0x9b927be9c0695588
9,alice,5,4 天前,"湯頭非常濃郁好喝，會再讓人想回訪的泰式火鍋店

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%BB%BE+Rolling+Thai+%E6%B3%B0%E5%BC%8F%E7%81%AB%E9%8D%8B(%E5%8D%97%E4%BA%AC%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a92d1ef9ab8d:0x9b927be9c0695588!8m2!3d25.0518054!4d121.5350793!16s%2Fg%2F11h6mmdgbl!19sChIJjav5Hi2pQjQRiFVpwOl7kps?authuser=0&hl=zh-TW&rclk=1,0x3442a92d1ef9ab8d:0x9b927be9c0695588
