,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,李岱芳,5,1 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B5%AA%E6%BC%AB%E4%B8%80%E7%94%9F%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a95dce8f1629:0x1c7a26d5f3c628e5!8m2!3d25.0578335!4d121.530347!16s%2Fg%2F1tdqf4w1!19sChIJKRaPzl2pQjQR5SjG89Umehw?authuser=0&hl=zh-TW&rclk=1,0x3442a95dce8f1629:0x1c7a26d5f3c628e5
1,林心緹,5,2 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B5%AA%E6%BC%AB%E4%B8%80%E7%94%9F%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a95dce8f1629:0x1c7a26d5f3c628e5!8m2!3d25.0578335!4d121.530347!16s%2Fg%2F1tdqf4w1!19sChIJKRaPzl2pQjQR5SjG89Umehw?authuser=0&hl=zh-TW&rclk=1,0x3442a95dce8f1629:0x1c7a26d5f3c628e5
2,張特別,4,1 週前,"點了一個皮蛋瘦肉粥（忘記照相），  
還有一個法式蘋果豬排，  
沙拉是用醬狂拌那種重口味的，  
忘記照田園小螺，  
酥皮濃湯很酥脆的表面，  
豬排肉很嫩，  
出乎意料之外~  
這間店還有一個很特別的是，  
是24小時營業的~~  
看youtuber酷的影片才知道，  
謝謝腦公特地帶我來~吃~  
完成我的願望

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B5%AA%E6%BC%AB%E4%B8%80%E7%94%9F%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a95dce8f1629:0x1c7a26d5f3c628e5!8m2!3d25.0578335!4d121.530347!16s%2Fg%2F1tdqf4w1!19sChIJKRaPzl2pQjQR5SjG89Umehw?authuser=0&hl=zh-TW&rclk=1,0x3442a95dce8f1629:0x1c7a26d5f3c628e5
3,T.K Yeh,5,1 週前,"開24hr的中西餐廳，讓半夜想吃點什麼也有去處。

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B5%AA%E6%BC%AB%E4%B8%80%E7%94%9F%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a95dce8f1629:0x1c7a26d5f3c628e5!8m2!3d25.0578335!4d121.530347!16s%2Fg%2F1tdqf4w1!19sChIJKRaPzl2pQjQR5SjG89Umehw?authuser=0&hl=zh-TW&rclk=1,0x3442a95dce8f1629:0x1c7a26d5f3c628e5
4,政鴻陳,4,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B5%AA%E6%BC%AB%E4%B8%80%E7%94%9F%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a95dce8f1629:0x1c7a26d5f3c628e5!8m2!3d25.0578335!4d121.530347!16s%2Fg%2F1tdqf4w1!19sChIJKRaPzl2pQjQR5SjG89Umehw?authuser=0&hl=zh-TW&rclk=1,0x3442a95dce8f1629:0x1c7a26d5f3c628e5
5,林小歆,4,1 週前,"西餐廳，已經是稀有生物

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B5%AA%E6%BC%AB%E4%B8%80%E7%94%9F%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a95dce8f1629:0x1c7a26d5f3c628e5!8m2!3d25.0578335!4d121.530347!16s%2Fg%2F1tdqf4w1!19sChIJKRaPzl2pQjQR5SjG89Umehw?authuser=0&hl=zh-TW&rclk=1,0x3442a95dce8f1629:0x1c7a26d5f3c628e5
6,Kevin Yeh,5,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B5%AA%E6%BC%AB%E4%B8%80%E7%94%9F%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a95dce8f1629:0x1c7a26d5f3c628e5!8m2!3d25.0578335!4d121.530347!16s%2Fg%2F1tdqf4w1!19sChIJKRaPzl2pQjQR5SjG89Umehw?authuser=0&hl=zh-TW&rclk=1,0x3442a95dce8f1629:0x1c7a26d5f3c628e5
7,gz w,5,2 週前,"餐點相當好吃，價格也不算昂貴，有會英文的服務生，帶外國友人去也相當方便。裝潢以現在的角度來說是復古風，喜歡老派餐廳裝潢可以推薦。

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B5%AA%E6%BC%AB%E4%B8%80%E7%94%9F%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a95dce8f1629:0x1c7a26d5f3c628e5!8m2!3d25.0578335!4d121.530347!16s%2Fg%2F1tdqf4w1!19sChIJKRaPzl2pQjQR5SjG89Umehw?authuser=0&hl=zh-TW&rclk=1,0x3442a95dce8f1629:0x1c7a26d5f3c628e5
8,chih han yang,1,2 週前,"ㄧ顆星送給服務生  
因為服務生心胸開闊  
坦然面對自家餐廳食物的味道  
就算食物難吃到剩下幾乎ㄧ半  
也不會詢問餐點的口味有沒有問題  
可能覺得問了也只是徒勞…  
  
肉感覺像是合成肉  
鵝肝味道古怪黑的  
蛋糕很乾很乾微硬  
奶茶滿無味稀稀的

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B5%AA%E6%BC%AB%E4%B8%80%E7%94%9F%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a95dce8f1629:0x1c7a26d5f3c628e5!8m2!3d25.0578335!4d121.530347!16s%2Fg%2F1tdqf4w1!19sChIJKRaPzl2pQjQR5SjG89Umehw?authuser=0&hl=zh-TW&rclk=1,0x3442a95dce8f1629:0x1c7a26d5f3c628e5
9,王奕昇,5,3 週前,"回味年輕時段的日子

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B5%AA%E6%BC%AB%E4%B8%80%E7%94%9F%E8%A5%BF%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442a95dce8f1629:0x1c7a26d5f3c628e5!8m2!3d25.0578335!4d121.530347!16s%2Fg%2F1tdqf4w1!19sChIJKRaPzl2pQjQR5SjG89Umehw?authuser=0&hl=zh-TW&rclk=1,0x3442a95dce8f1629:0x1c7a26d5f3c628e5
