,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,圓仔Q,1,1 天前,"我不想為了送東西 打五星 違背真實想法  
東西份量☹少少少的誇張 要打卡說好話 會送東西 所以評價也不是那麼準 Cp值不高 味道普通 沒上面說的好吃 份量比別家火鍋店少很多很多  
老闆有點小氣

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
1,陳宛庭,5,2 週前,"今天選擇燒酒藥膳湯底，超級好喝  
用米酒還有中藥材包，越滾越好喝，最後的湯頭幾乎是中藥的甜味  
菜盤可以選擇全蔬菜的  
肉的份量150g  
葛利也很鮮甜的大顆好吃  
甜品是紫米薏仁甜湯  
對於愛喝湯的人可以嘗試看看 很讚

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
2,MM X,1,2 週前,"今天去沒什麼人，點了一份套餐，先給了菜盤其他什麼都沒給，白飯和肉還要提醒老闆忘了給我超可悲，醬料還不能自己調，以這個價位來說實在不推。

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
3,ADA WANG,5,1 個月前,"傳統的涮涮鍋，湯頭自熬不是湯粉就很加分，喝了之後不死鹹或口乾舌燥，餐點份量普通，對食量大的可能會吃不飽，主食可以點瓜仔飯，看很多人點感覺應該是好吃。  
第二次去吃，已放入喜愛名單中，畢竟要找到湯自熬的不多惹

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
4,沈宏昌,4,1 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
5,Yi,1,1 個月前,"被打卡騙進來了==

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
6,Chiao,5,1 個月前,"老闆娘人很親切，餐點比想像中好吃！！！有對得起價格

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
7,潘思伶,4,1 個月前,"不喜歡火鍋料可以選蔬菜盤 不錯喲～

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
8,陳婉宜,5,1 個月前,"服務良好

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
9,Amanda Lin,5,2 個月前,"好吃 料好實在

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
10,W YI,5,2 個月前,"湯味鮮甜，服務親切，環境乾淨  
讚

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
11,何慧蘋,5,2 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
12,Jeremy Ho,5,2 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
13,wallace ho,5,2 個月前,"服務好！湯頭多

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
14,Liu Mandy,5,2 個月前,"第一次來這邊用餐，老闆娘很熱心的介紹可以如何點餐。菜盤部分跟一般火鍋店不一樣，可以選擇全蔬菜；其中不想吃的可以協助更換其他的蔬菜。  
醬料部分也是協助調配自己想要的配料

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
15,Syuan,5,2 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
16,許舒晴,5,2 個月前,"醬料跟湯底真的獨家好味道！

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
17,Darren Lin,5,2 個月前,"打卡送

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
18,yang collie,5,2 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
19,宗,5,2 個月前,"Cp值很高～

",2022-11-21,https://www.google.com.tw/maps/place/%E6%B6%AE%E6%A8%82%E9%8D%8B%E7%89%A9/data=!4m7!3m6!1s0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4!8m2!3d25.0602935!4d121.531364!16s%2Fg%2F11bwf6wx__!19sChIJ1Y4qql6pQjQRpHFLX-xq8dc?authuser=0&hl=zh-TW&rclk=1,0x3442a95eaa2a8ed5:0xd7f16aec5f4b71a4
