,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Peter Chiu,5,7 小時前,,2022-11-15,https://www.google.com.tw/maps/place/%E6%BC%81%E9%99%B6%E5%B1%8B+%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a94894c7c60d:0xee2cf49590e19cd7!8m2!3d25.0703399!4d121.518217!16s%2Fg%2F1tgyz8rv!19sChIJDcbHlEipQjQR15zhkJX0LO4?authuser=0&hl=zh-TW&rclk=1,0x3442a94894c7c60d:0xee2cf49590e19cd7
1,張Jason,5,20 小時前,"好棒的店～

",2022-11-15,https://www.google.com.tw/maps/place/%E6%BC%81%E9%99%B6%E5%B1%8B+%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a94894c7c60d:0xee2cf49590e19cd7!8m2!3d25.0703399!4d121.518217!16s%2Fg%2F1tgyz8rv!19sChIJDcbHlEipQjQR15zhkJX0LO4?authuser=0&hl=zh-TW&rclk=1,0x3442a94894c7c60d:0xee2cf49590e19cd7
2,XIWEN YUEN,5,1 天前,"擺盤細心 上菜快速

",2022-11-15,https://www.google.com.tw/maps/place/%E6%BC%81%E9%99%B6%E5%B1%8B+%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a94894c7c60d:0xee2cf49590e19cd7!8m2!3d25.0703399!4d121.518217!16s%2Fg%2F1tgyz8rv!19sChIJDcbHlEipQjQR15zhkJX0LO4?authuser=0&hl=zh-TW&rclk=1,0x3442a94894c7c60d:0xee2cf49590e19cd7
3,Holing LEE,5,2 天前,"好吃

",2022-11-15,https://www.google.com.tw/maps/place/%E6%BC%81%E9%99%B6%E5%B1%8B+%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a94894c7c60d:0xee2cf49590e19cd7!8m2!3d25.0703399!4d121.518217!16s%2Fg%2F1tgyz8rv!19sChIJDcbHlEipQjQR15zhkJX0LO4?authuser=0&hl=zh-TW&rclk=1,0x3442a94894c7c60d:0xee2cf49590e19cd7
4,Takuko Chen,5,2 天前,"點了兩個生魚丼飯，種類豐富，新鮮度夠，下次還會再來

",2022-11-15,https://www.google.com.tw/maps/place/%E6%BC%81%E9%99%B6%E5%B1%8B+%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a94894c7c60d:0xee2cf49590e19cd7!8m2!3d25.0703399!4d121.518217!16s%2Fg%2F1tgyz8rv!19sChIJDcbHlEipQjQR15zhkJX0LO4?authuser=0&hl=zh-TW&rclk=1,0x3442a94894c7c60d:0xee2cf49590e19cd7
5,Adam Yen,1,2 天前,"很久沒吃到品質那麼差的日料了，價格還不平實

",2022-11-15,https://www.google.com.tw/maps/place/%E6%BC%81%E9%99%B6%E5%B1%8B+%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a94894c7c60d:0xee2cf49590e19cd7!8m2!3d25.0703399!4d121.518217!16s%2Fg%2F1tgyz8rv!19sChIJDcbHlEipQjQR15zhkJX0LO4?authuser=0&hl=zh-TW&rclk=1,0x3442a94894c7c60d:0xee2cf49590e19cd7
6,年,3,2 天前,"東西新鮮，上菜快速，打卡送生魚片

",2022-11-15,https://www.google.com.tw/maps/place/%E6%BC%81%E9%99%B6%E5%B1%8B+%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a94894c7c60d:0xee2cf49590e19cd7!8m2!3d25.0703399!4d121.518217!16s%2Fg%2F1tgyz8rv!19sChIJDcbHlEipQjQR15zhkJX0LO4?authuser=0&hl=zh-TW&rclk=1,0x3442a94894c7c60d:0xee2cf49590e19cd7
7,周亞玟,5,2 天前,"家人生日來聚餐，人很多，東西不錯喔！

",2022-11-15,https://www.google.com.tw/maps/place/%E6%BC%81%E9%99%B6%E5%B1%8B+%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a94894c7c60d:0xee2cf49590e19cd7!8m2!3d25.0703399!4d121.518217!16s%2Fg%2F1tgyz8rv!19sChIJDcbHlEipQjQR15zhkJX0LO4?authuser=0&hl=zh-TW&rclk=1,0x3442a94894c7c60d:0xee2cf49590e19cd7
8,lucien chang,5,2 天前,"剝皮辣椒牛肉串微微舒服的辣很厲害  
鹽烤鮭魚肚外酥內軟層次豐富  
蔥醬雞腿肉串的 蔥鹽感也太厲害了  
好多好吃的

",2022-11-15,https://www.google.com.tw/maps/place/%E6%BC%81%E9%99%B6%E5%B1%8B+%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a94894c7c60d:0xee2cf49590e19cd7!8m2!3d25.0703399!4d121.518217!16s%2Fg%2F1tgyz8rv!19sChIJDcbHlEipQjQR15zhkJX0LO4?authuser=0&hl=zh-TW&rclk=1,0x3442a94894c7c60d:0xee2cf49590e19cd7
9,黃士豪,5,3 天前,"特殊餐點：特別，好吃

",2022-11-15,https://www.google.com.tw/maps/place/%E6%BC%81%E9%99%B6%E5%B1%8B+%E6%97%A5%E5%BC%8F%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3442a94894c7c60d:0xee2cf49590e19cd7!8m2!3d25.0703399!4d121.518217!16s%2Fg%2F1tgyz8rv!19sChIJDcbHlEipQjQR15zhkJX0LO4?authuser=0&hl=zh-TW&rclk=1,0x3442a94894c7c60d:0xee2cf49590e19cd7
