,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,March Ma,5,21 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
1,Jou Jou,5,1 天前,"便宜又好吃！  
自助檯總類多  
超高cp值  
愛吃青菜的來總沒錯！

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
2,游壁如,4,1 天前,"菜色還不錯，食量大的比較划算，交通方便，價位比較偏高，但因為吃到飽所以不算貴

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
3,ANNIE CHEN,4,2 天前,"第一次來11/18周五的晚餐剛好有位子  
蔬菜很多種，還有魚肚，肉片（豬肉、牛肉）蛤蟆、蝦子，魚皮….火鍋料  
水果，甜點、飲料機和小罐裝飲料  
限時2小時也很可以  
一下就飽了～  
服務人員真有心，蕃茄湯不習慣還可以換清湯！  
總之服務很好。海鮮也新鮮，蔬菜也很多！

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
4,陳研瀚,5,3 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
5,BENSON LEE,5,4 天前,"我一個人吃鍋的口袋名單！

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
6,王世河,5,4 天前,"午餐439真是個佛心價，肉片有豬，雞，牛，羊，海鮮有蝦，蛤蜊，淡菜，扇貝，竹蛤，魷魚，小卷，透抽，軟絲，虱目魚皮，鮭魚肚，內臟類豬肝，雞心，牛毛肚，各種菜類，餃類，水果，冰類，點心，飲料，咖啡，麻辣鴨血，魯肉飯，麵食，爽吃兩小時，不怕沒東西吃，只怕吃太撐，小資族的澎派水鍋吃到飽，但最好先訂位，用餐時間人滿多的，一個人也可用餐，真的是太好了。

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
7,蘇廷祐,4,5 天前,"食材，菜色豐富，（美味靠自己煮火鍋看配料與廚藝+），價位適合大眾化。

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
8,Roger Li Roger Li,5,6 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
9,連曼麗,4,6 天前,"服務很好，很親切

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
10,魑子鈴Ghost bell,4,6 天前,"普通

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
11,Leu Shyueru,5,1 週前,"食材種類眾多，超值吃到飽

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
12,Shaun Li,5,1 週前,"蔬菜海鮮都新鮮，服務也好，這個價位沒什麼好挑剔的了，讚！！！

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
13,Aibby L,5,1 週前,"來這裡吃應該有5年了，菜色依然多樣，選擇好多，雖然一路漲價，但我覺得老闆還是很佛，海鮮蝦子蛤蜊都很新鮮，蔬菜類也很多可以挑，水果都有甜，每次來都最期待百香果，超甜❤️我們都吃好多
牛肉，豬肉，羊肉，羊肉很好的是，煮起來還是一整片，不是散的，整體上是很滿意的。  
台北市這樣的價位很讚。

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
14,楊淳聿,5,1 週前,"讚啦 超愛海鮮

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
15,幸福安成,4,1 週前,"CP值高

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
16,宋承翰,5,2 週前,"好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E7%8A%87%E9%B1%BB%E6%B6%AE%E6%B6%AE%E9%8D%8B+%E8%87%AA%E5%8A%A9%E5%BC%8F%E5%90%83%E5%88%B0%E9%A3%BD%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a9616d9df5f5:0x1e796be62b6f9209!8m2!3d25.0508766!4d121.5332982!16s%2Fg%2F1tfk23nv!19sChIJ9fWdbWGpQjQRCZJvK-ZreR4?authuser=0&hl=zh-TW&rclk=1,0x3442a9616d9df5f5:0x1e796be62b6f9209
