,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,楊宇軒,5,2 小時前,"魷魚螺肉蒜湯頭好喝，店員服務態度佳，上菜也快，無骨牛小排好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E7%9F%B3%E2%80%A7%E6%92%88%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m7!3m6!1s0x3442a92a7f3347bd:0x3dc88d246deff91a!8m2!3d25.0508984!4d121.5333223!16s%2Fg%2F11fn4m_f5k!19sChIJvUczfyqpQjQRGvnvbSSNyD0?authuser=0&hl=zh-TW&rclk=1,0x3442a92a7f3347bd:0x3dc88d246deff91a
1,pinki Winki,5,4 小時前,"看了大胃王小慧來用餐深深吸引我們幾個同事，大家約了來嘗鮮，進門看到整個店的氣氛大家都蠻喜歡的  
  
湯頭可以選一鍋螺肉的另一邊我們就選了麻辣湯頭，整個吃起來算不錯，到中間我們就選擇加白開水，避免越煮越鹹……  
  
餐點的表現算出色，但不至於太厲害，但我們覺得這樣也算及格了，畢竟我們也沒有像小慧那樣的食量，因為我沒有吃牛肉所以整桌就沒有加價升級和牛吃到飽，原本的無骨牛肉，牛舌同事們說還可以，裡面我覺得羊肉表現不錯……  
  
海鮮部分也尚可，大腸就有些異味整個店讓我們最滿意的部分就是他們的工作人員態度非常好，服務迅速、客氣  
  
值得再次回訪的店

",2022-11-21,https://www.google.com.tw/maps/place/%E7%9F%B3%E2%80%A7%E6%92%88%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m7!3m6!1s0x3442a92a7f3347bd:0x3dc88d246deff91a!8m2!3d25.0508984!4d121.5333223!16s%2Fg%2F11fn4m_f5k!19sChIJvUczfyqpQjQRGvnvbSSNyD0?authuser=0&hl=zh-TW&rclk=1,0x3442a92a7f3347bd:0x3dc88d246deff91a
2,Aibby L,3,4 天前,"698元的/人+99元和牛吃到飽，湯頭很不錯，螺肉湯，麻辣湯，很讚！整天肉質還不錯，牛小排也很可以，火鍋料等等都還不錯，沒有地雷，和牛就很特別，吃快飽了，才上美美油花的和牛，上菜盤子很大，東西一點點，可能怕浪費，整體而言滿意。  
時間到的時候雖然沒有挑明趕人，但直接要收桌是ok的，只是～可以把一整鍋湯端走沒關係，別我們都還沒離席，就把各種碗裡的湯水在客人面前倒來倒去，觀感不好。

",2022-11-21,https://www.google.com.tw/maps/place/%E7%9F%B3%E2%80%A7%E6%92%88%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m7!3m6!1s0x3442a92a7f3347bd:0x3dc88d246deff91a!8m2!3d25.0508984!4d121.5333223!16s%2Fg%2F11fn4m_f5k!19sChIJvUczfyqpQjQRGvnvbSSNyD0?authuser=0&hl=zh-TW&rclk=1,0x3442a92a7f3347bd:0x3dc88d246deff91a
3,Abby Huang,5,5 天前,"23歲的彰化妹妹漂亮有禮貌又超勤快！真的要推薦一下！  
東西好吃！上餐快《

",2022-11-21,https://www.google.com.tw/maps/place/%E7%9F%B3%E2%80%A7%E6%92%88%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m7!3m6!1s0x3442a92a7f3347bd:0x3dc88d246deff91a!8m2!3d25.0508984!4d121.5333223!16s%2Fg%2F11fn4m_f5k!19sChIJvUczfyqpQjQRGvnvbSSNyD0?authuser=0&hl=zh-TW&rclk=1,0x3442a92a7f3347bd:0x3dc88d246deff91a
4,詩SHIH,5,6 天前,"喜歡白湯底，非常好喝～  
一進去店內氣氛很好，餐具也都很漂亮精緻！  
上餐速度也合理，用料實在，尤其蛋餃、丸子都能感受到用心！  
最喜歡的海鮮部分蛤蜊大顆、蚵仔新鮮！  
平常外面火鍋店的魚片都有腥味，這邊完全沒有，非常好吃  
甜點部分喜歡生巧克力捲、哈根達斯的口味也非常受歡迎（淇淋巧酥）很喜歡

",2022-11-21,https://www.google.com.tw/maps/place/%E7%9F%B3%E2%80%A7%E6%92%88%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m7!3m6!1s0x3442a92a7f3347bd:0x3dc88d246deff91a!8m2!3d25.0508984!4d121.5333223!16s%2Fg%2F11fn4m_f5k!19sChIJvUczfyqpQjQRGvnvbSSNyD0?authuser=0&hl=zh-TW&rclk=1,0x3442a92a7f3347bd:0x3dc88d246deff91a
5,王仔翔,1,1 週前,"一人開鍋要+100

",2022-11-21,https://www.google.com.tw/maps/place/%E7%9F%B3%E2%80%A7%E6%92%88%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m7!3m6!1s0x3442a92a7f3347bd:0x3dc88d246deff91a!8m2!3d25.0508984!4d121.5333223!16s%2Fg%2F11fn4m_f5k!19sChIJvUczfyqpQjQRGvnvbSSNyD0?authuser=0&hl=zh-TW&rclk=1,0x3442a92a7f3347bd:0x3dc88d246deff91a
6,Chen Katsu,4,1 週前,"肉品的選項很多，肉質有一定水準。+99元可以美國和牛無限點，但其他肉質夠水準，不加點也沒差。每次點菜12道、每道三份，上菜速度不慢，服務也親切。飲料吧的選項很多，冰品有哈根達斯與莫凡比等三冰櫃可選用。湯頭雖不錯，但辣度、麻度還能有進步空間。

",2022-11-21,https://www.google.com.tw/maps/place/%E7%9F%B3%E2%80%A7%E6%92%88%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m7!3m6!1s0x3442a92a7f3347bd:0x3dc88d246deff91a!8m2!3d25.0508984!4d121.5333223!16s%2Fg%2F11fn4m_f5k!19sChIJvUczfyqpQjQRGvnvbSSNyD0?authuser=0&hl=zh-TW&rclk=1,0x3442a92a7f3347bd:0x3dc88d246deff91a
7,曾昆道,5,2 週前,"服務殷勤，收盤速度快！點餐出餐速度快！環境新穎乾淨！若水果及食物品項再多一些選擇多些會更好！整體來說算可以的！

",2022-11-21,https://www.google.com.tw/maps/place/%E7%9F%B3%E2%80%A7%E6%92%88%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m7!3m6!1s0x3442a92a7f3347bd:0x3dc88d246deff91a!8m2!3d25.0508984!4d121.5333223!16s%2Fg%2F11fn4m_f5k!19sChIJvUczfyqpQjQRGvnvbSSNyD0?authuser=0&hl=zh-TW&rclk=1,0x3442a92a7f3347bd:0x3dc88d246deff91a
8,維尼熊,1,2 週前,"超多空位，然後跟我說沒有位子了

",2022-11-21,https://www.google.com.tw/maps/place/%E7%9F%B3%E2%80%A7%E6%92%88%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m7!3m6!1s0x3442a92a7f3347bd:0x3dc88d246deff91a!8m2!3d25.0508984!4d121.5333223!16s%2Fg%2F11fn4m_f5k!19sChIJvUczfyqpQjQRGvnvbSSNyD0?authuser=0&hl=zh-TW&rclk=1,0x3442a92a7f3347bd:0x3dc88d246deff91a
9,Wei Shou,5,2 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E7%9F%B3%E2%80%A7%E6%92%88%E9%BA%BB%E8%BE%A3%E9%B4%9B%E9%B4%A6%E9%8D%8B/data=!4m7!3m6!1s0x3442a92a7f3347bd:0x3dc88d246deff91a!8m2!3d25.0508984!4d121.5333223!16s%2Fg%2F11fn4m_f5k!19sChIJvUczfyqpQjQRGvnvbSSNyD0?authuser=0&hl=zh-TW&rclk=1,0x3442a92a7f3347bd:0x3dc88d246deff91a
