,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,林君寰,5,3 小時前,"取餐開車要注意交通，餐點好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
1,Otto Lee,3,5 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
2,Mike Ho,2,19 小時前,"2022回訪！這次覺得湯頭普通！可能第一次吃太驚艷！這次驚喜感整個蓋掉！  
價格有夠貴！3個人吃下來2100！在新北吃羊肉爐3個人大概1200左右就吃很飽！工作人員態度客氣。但講話直接，難聽！沒有同理心！  
吃過這次不會再來了

",2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
3,Sam Chien,4,2 天前,"還不錯，吃得算過癮

",2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
4,Winter Huang,5,4 天前,"不錯 但很難訂

",2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
5,珮珊,5,1 週前,"冬天進補的好地方

",2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
6,許小夢,5,2 週前,"多謝朋友打了很多通電話成功訂到位  
好吃 推薦

",2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
7,Joyce Fan,5,2 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
8,鍾豪方,5,2 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
9,Danson,4,2 週前,"心中掛念三年有了，感謝友人訂位，依人數調整大中小鍋，點鍋本身就有配料，嫌不夠可加點其它熱炒類，不知道是不是期望太高，湯頭不濃郁也稍嫌偏甜，而且每次加湯都加得很少，一直補也很麻煩，羊肉塊本身也沒什麼入味，環境因為是車庫，所以座位真的蠻擁擠的，麵線就真的很好吃！放涼一陣子依舊是Q彈有勁，整體價格也不算貴，建議是不用特地來吃，此為台北羊肉爐名店，十字總結：「羊有所味」，並無「羊超所味」。  
  
環境3  
服務3  
美味3  
價格4  
  
綜合3.8/5

",2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
10,AveryC,4,2 週前,"湯頭不會太重羊騷味，電話打了40通跟其他評價比起來算少，個人認爲東西好吃且價格很ok不算貴，當日用餐蠻愉快，！推一下

",2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
11,Chiu Vivian,2,3 週前,"$1600的羊肉爐，好貴！麵線90，大盤，水很多。紅燒口味，湯好喝，羊肉偏硬。

",2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
12,Oceanpuma Chang,5,3 週前,"喜歡沒有中藥味味道適中的湯頭，煮出來的豆腐跟豆皮很棒，麵線好吃，帶皮羊肉跟羊肉片

",2022-11-21,https://www.google.com.tw/maps/place/%E7%BE%8A%E8%82%89%E6%B9%AF%E9%8D%8B-%E8%BB%8A%E5%BA%AB%E7%BE%8A%E8%82%89%E7%88%90/data=!4m7!3m6!1s0x3442abe232cf7bc3:0xd52f67c6371c42a4!8m2!3d25.0593925!4d121.539787!16s%2Fg%2F1td_w8x9!19sChIJw3vPMuKrQjQRpEIcN8ZnL9U?authuser=0&hl=zh-TW&rclk=1,0x3442abe232cf7bc3:0xd52f67c6371c42a4
