,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,邱世崇,5,1 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E5%B7%B4%E8%9C%80%E9%BA%BB%E8%BE%A3%E7%87%99+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/data=!4m7!3m6!1s0x3442a966eee5886f:0xe229e535f82cb364!8m2!3d25.0522692!4d121.5294761!16s%2Fg%2F11b6c90xr7!19sChIJb4jl7mapQjQRZLMs-DXlKeI?authuser=0&hl=zh-TW&rclk=1,0x3442a966eee5886f:0xe229e535f82cb364
1,Chu Chu,5,17 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E5%B7%B4%E8%9C%80%E9%BA%BB%E8%BE%A3%E7%87%99+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/data=!4m7!3m6!1s0x3442a966eee5886f:0xe229e535f82cb364!8m2!3d25.0522692!4d121.5294761!16s%2Fg%2F11b6c90xr7!19sChIJb4jl7mapQjQRZLMs-DXlKeI?authuser=0&hl=zh-TW&rclk=1,0x3442a966eee5886f:0xe229e535f82cb364
2,陳俊銘,4,1 天前,"老四川就不用多介紹了  
招牌湯底：麻辣鍋底/養生白湯  
  
服務員會視情況補上鴨血/豆腐  
都不用舉手～真的效率很高。  
  
環境舒適且寬敞

",2022-11-21,https://www.google.com.tw/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E5%B7%B4%E8%9C%80%E9%BA%BB%E8%BE%A3%E7%87%99+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/data=!4m7!3m6!1s0x3442a966eee5886f:0xe229e535f82cb364!8m2!3d25.0522692!4d121.5294761!16s%2Fg%2F11b6c90xr7!19sChIJb4jl7mapQjQRZLMs-DXlKeI?authuser=0&hl=zh-TW&rclk=1,0x3442a966eee5886f:0xe229e535f82cb364
3,豐川悅司,5,5 天前,"好吃 好吃 友善寵物 需帶寵物推車，寵物籠

",2022-11-21,https://www.google.com.tw/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E5%B7%B4%E8%9C%80%E9%BA%BB%E8%BE%A3%E7%87%99+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/data=!4m7!3m6!1s0x3442a966eee5886f:0xe229e535f82cb364!8m2!3d25.0522692!4d121.5294761!16s%2Fg%2F11b6c90xr7!19sChIJb4jl7mapQjQRZLMs-DXlKeI?authuser=0&hl=zh-TW&rclk=1,0x3442a966eee5886f:0xe229e535f82cb364
4,林CoCo,5,1 週前,"服務很周到.現在設備有些改變.多了一些小菜+冰淇淋.飲料區.  
不過這裡並不是""吃到飽""訂90分鐘.感覺用餐時間有點急迫.

",2022-11-21,https://www.google.com.tw/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E5%B7%B4%E8%9C%80%E9%BA%BB%E8%BE%A3%E7%87%99+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/data=!4m7!3m6!1s0x3442a966eee5886f:0xe229e535f82cb364!8m2!3d25.0522692!4d121.5294761!16s%2Fg%2F11b6c90xr7!19sChIJb4jl7mapQjQRZLMs-DXlKeI?authuser=0&hl=zh-TW&rclk=1,0x3442a966eee5886f:0xe229e535f82cb364
5,鍾明叡,5,1 週前,"裝潢走中式，價格偏中高，麻辣鍋屬香辣，麻度還好，菜都是單點的，肉質海鮮菜盤中規中矩，服務人員有貼心提醒下料順序，比較不會破壞湯頭，鴨血豆腐吃到飽，也很好吃，吃不完連湯頭都可以外帶。

",2022-11-21,https://www.google.com.tw/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E5%B7%B4%E8%9C%80%E9%BA%BB%E8%BE%A3%E7%87%99+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/data=!4m7!3m6!1s0x3442a966eee5886f:0xe229e535f82cb364!8m2!3d25.0522692!4d121.5294761!16s%2Fg%2F11b6c90xr7!19sChIJb4jl7mapQjQRZLMs-DXlKeI?authuser=0&hl=zh-TW&rclk=1,0x3442a966eee5886f:0xe229e535f82cb364
6,劉智園,5,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E5%B7%B4%E8%9C%80%E9%BA%BB%E8%BE%A3%E7%87%99+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/data=!4m7!3m6!1s0x3442a966eee5886f:0xe229e535f82cb364!8m2!3d25.0522692!4d121.5294761!16s%2Fg%2F11b6c90xr7!19sChIJb4jl7mapQjQRZLMs-DXlKeI?authuser=0&hl=zh-TW&rclk=1,0x3442a966eee5886f:0xe229e535f82cb364
7,劉彩娟,5,1 週前,"食材好吃，服務人員態度很好又親切

",2022-11-21,https://www.google.com.tw/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E5%B7%B4%E8%9C%80%E9%BA%BB%E8%BE%A3%E7%87%99+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/data=!4m7!3m6!1s0x3442a966eee5886f:0xe229e535f82cb364!8m2!3d25.0522692!4d121.5294761!16s%2Fg%2F11b6c90xr7!19sChIJb4jl7mapQjQRZLMs-DXlKeI?authuser=0&hl=zh-TW&rclk=1,0x3442a966eee5886f:0xe229e535f82cb364
8,謝明錫 Sherlock HSIEH,5,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E5%B7%B4%E8%9C%80%E9%BA%BB%E8%BE%A3%E7%87%99+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/data=!4m7!3m6!1s0x3442a966eee5886f:0xe229e535f82cb364!8m2!3d25.0522692!4d121.5294761!16s%2Fg%2F11b6c90xr7!19sChIJb4jl7mapQjQRZLMs-DXlKeI?authuser=0&hl=zh-TW&rclk=1,0x3442a966eee5886f:0xe229e535f82cb364
9,wendy lee,5,1 週前,"肉質佳，麻辣夠味，環境乾淨，位置方便，服務人員熱情

",2022-11-21,https://www.google.com.tw/maps/place/%E8%80%81%E5%9B%9B%E5%B7%9D%E5%B7%B4%E8%9C%80%E9%BA%BB%E8%BE%A3%E7%87%99+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E5%BA%97/data=!4m7!3m6!1s0x3442a966eee5886f:0xe229e535f82cb364!8m2!3d25.0522692!4d121.5294761!16s%2Fg%2F11b6c90xr7!19sChIJb4jl7mapQjQRZLMs-DXlKeI?authuser=0&hl=zh-TW&rclk=1,0x3442a966eee5886f:0xe229e535f82cb364
