,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Gordan Michill,4,4 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%81%9A%E6%97%A5%E5%BC%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb!8m2!3d25.0518589!4d121.5307203!16s%2Fg%2F1tfbw4dw!19sChIJj2xKyWapQjQR-9tnHD0-uyA?authuser=0&hl=zh-TW&rclk=1,0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb
1,游悰熺,5,20 小時前,"打卡送東西，CP值滿高的，菜和肉都蠻新鮮，熊鍋很可愛

",2022-11-21,https://www.google.com.tw/maps/place/%E8%81%9A%E6%97%A5%E5%BC%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb!8m2!3d25.0518589!4d121.5307203!16s%2Fg%2F1tfbw4dw!19sChIJj2xKyWapQjQR-9tnHD0-uyA?authuser=0&hl=zh-TW&rclk=1,0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb
2,Cynthia Wu,5,21 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%81%9A%E6%97%A5%E5%BC%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb!8m2!3d25.0518589!4d121.5307203!16s%2Fg%2F1tfbw4dw!19sChIJj2xKyWapQjQR-9tnHD0-uyA?authuser=0&hl=zh-TW&rclk=1,0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb
3,林Lin,2,1 天前,"今天到餐廳用餐，點了海鮮盤上面居然有一隻毛毛蟲，當下馬上反應，店家馬上道歉並送了一些海鮮補償，只是還是覺得很恐佈，後來在吃青菜時，又發現有一隻不小的菜蟲，也吃不下去了，短時間內不會再去了

",2022-11-21,https://www.google.com.tw/maps/place/%E8%81%9A%E6%97%A5%E5%BC%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb!8m2!3d25.0518589!4d121.5307203!16s%2Fg%2F1tfbw4dw!19sChIJj2xKyWapQjQR-9tnHD0-uyA?authuser=0&hl=zh-TW&rclk=1,0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb
4,Chan Chen,5,1 天前,"牛奶可愛，奶油白菜甜甜好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E8%81%9A%E6%97%A5%E5%BC%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb!8m2!3d25.0518589!4d121.5307203!16s%2Fg%2F1tfbw4dw!19sChIJj2xKyWapQjQR-9tnHD0-uyA?authuser=0&hl=zh-TW&rclk=1,0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb
5,林逸文,5,2 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%81%9A%E6%97%A5%E5%BC%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb!8m2!3d25.0518589!4d121.5307203!16s%2Fg%2F1tfbw4dw!19sChIJj2xKyWapQjQR-9tnHD0-uyA?authuser=0&hl=zh-TW&rclk=1,0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb
6,顏婉容,5,3 天前,"蔬菜吃到飽cp值很高～～烏龍很好吃～～服務也很好棒

",2022-11-21,https://www.google.com.tw/maps/place/%E8%81%9A%E6%97%A5%E5%BC%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb!8m2!3d25.0518589!4d121.5307203!16s%2Fg%2F1tfbw4dw!19sChIJj2xKyWapQjQR-9tnHD0-uyA?authuser=0&hl=zh-TW&rclk=1,0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb
7,Mei Huang,3,3 天前,"藥膳湯頭偏淡完全沒什麼味道 沾料部分的辣椒不辣都出水、蒜頭和蔥都沒有該有的蒜味及蔥味好奇怪？（因為凍太久不新鮮了嗎？）自助區的牛丼調味超級甜
飲料都非常甜、非常膩口、但就食材的部分是非常新鮮好吃的、所以嗯⋯⋯可取代的火鍋店太多了！畢竟是王品這大品牌～覺得好像可以不用再來了～～

",2022-11-21,https://www.google.com.tw/maps/place/%E8%81%9A%E6%97%A5%E5%BC%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb!8m2!3d25.0518589!4d121.5307203!16s%2Fg%2F1tfbw4dw!19sChIJj2xKyWapQjQR-9tnHD0-uyA?authuser=0&hl=zh-TW&rclk=1,0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb
8,古書華,5,3 天前,"聚 好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E8%81%9A%E6%97%A5%E5%BC%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb!8m2!3d25.0518589!4d121.5307203!16s%2Fg%2F1tfbw4dw!19sChIJj2xKyWapQjQR-9tnHD0-uyA?authuser=0&hl=zh-TW&rclk=1,0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb
9,李憶欣,5,4 天前,"好吃、價錢實在、服務100分❤️

",2022-11-21,https://www.google.com.tw/maps/place/%E8%81%9A%E6%97%A5%E5%BC%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E5%8C%97%E5%8D%97%E4%BA%AC%E6%9D%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb!8m2!3d25.0518589!4d121.5307203!16s%2Fg%2F1tfbw4dw!19sChIJj2xKyWapQjQR-9tnHD0-uyA?authuser=0&hl=zh-TW&rclk=1,0x3442a966c94a6c8f:0x20bb3e3d1c67dbfb
