,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,陳如如,5,18 小時前,"服務很細心！講解菜單都很詳細

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
1,王王Wangwang,3,1 天前,"麻大於辣的麻辣鍋，滋味確實不錯不會死鹹，但  
會一直吃到渣渣，如果能像海底撈一樣先幫忙撈起來，用餐體驗應該會更優。  
白湯的部分非常清淡，可有可無，不評論。  
  
餐廳裝潢和燈光很棒，拍照非常優秀，店員服務態度良好，上菜速度平均，但餐前介紹稍少了一些，特色菜都沒吃到，有點可惜。  
  
酸梅湯好喝價格合理！  
手撕毛肚好吃！下鍋時間記得抓好！  
肉類可能點錯品項，不管是涮三秒還是全熟，小肥牛都非常硬，超級雷！豬肉真的比較好吃⋯石斑魚片有土味⋯蝦滑吃起來像在吃蝦捲個人不喜歡，麵疙瘩入麻辣鍋煮還不錯！  
  
！！生日用餐送一大盤肉肉！！  
很好吃耶比小肥牛好吃很多  
總而言之會體驗一次，但不會二訪了。

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
2,Jeffrey. L,5,2 天前,"價位中上偏高，場地和佈置跟擺盤都很浮誇，所有菜都很道地～非常好吃！

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
3,樂芬艾,4,2 週前,"肉品品質不錯  
手工總合餃很不錯  
整體走浮誇路線  
價格略高  
聚餐適合

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
4,cityeason li,4,2 週前,"消費偏高！服務員慢工出細活。  
豆腐有讓我驚艷、菜色豐富。  
可惜用餐時間只有2個小時。  
包廂有低消，但服務加值。

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
5,ICE YU,5,2 週前,"正宗道地的麻辣鍋，採單點式的菜單，還有麻辣串串，整體環境乾淨寬敞，吃完下來只有麻還很辣，食材多樣且新鮮，讓人想再去第二次

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
6,Sylvia Hsu,3,3 週前,"東西貴，沒有記憶點，專門為了小龍蝦而來，也並不好吃，只有浮誇擺盤和裝潢，不推薦，如果你要做排場，可以來。

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
7,Ed Wang,5,3 週前,"好吃好玩，孔明搭著友誼的小船載滷味

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
8,Sean Ho,4,1 個月前,"在台灣吃過最重慶的麻辣鍋！吉祥三脆也是以前在大陸吃重慶火鍋必點，下次要點大麻大辣一定更爽！

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
9,Jocelyn Kao,5,1 個月前,"辣度可調整 推 巴蜀麻辣嫩牛肉片 超嫩超好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
10,伊冰,4,1 個月前,"湯底偏鹹 香氣個人覺得還是差海底撈太多  
鴨血豆腐偏死鹹 炸酥肉像在吃炸甜不辣…  
毛肚 肉片類醃漬肉類表現都不錯  
但現場服務人員是外籍人士  
要聽他的介紹 有點點吃力要很認真聽  
其實給外籍勞工機會很好  
但應該要在內場比較適合 畢竟這是主打  
內地火鍋 但服務態度都很良好  
跟他要了乾碟粉 他給我一個乾淨的碟子  
然後看到內場及櫃檯都是台灣人  
應該要顛倒過來吧～  
白鍋還能接受淡淡清香  
裝潢很厲害 但希望口味上能配的這個裝潢  
嚐鮮可以 加油可以更好

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
11,Emma TuTuNei,5,1 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
12,龐文楚（pango）,4,1 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
13,羅宇婕,5,1 個月前,"很炫炮

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
14,Zake Yu,4,2 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
15,歐強,5,2 個月前,"服務很棒，麻辣湯味道很足，鴛鴦的方式是內外鍋分，這次因為有小孩所以選了「內紅外白」，如果喜歡辣的，店員推薦「內白外紅」喔！肉類方面，大推嫩牛肉，好好吃！鴨血跟豆腐也很棒，可惜湯底不能無限續加。用餐後招待一小杯冬瓜檸檬。

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
16,lin jay,3,2 個月前,"每種肉的品質與蝦滑細膩又好吃  
巴蜀麻辣嫩牛肉吃起來嫩口且厚實  
滷水拼盤的牛筋Q彈有嚼勁  
肥腸也十分入味沒得挑剔  
唯獨醬料吃多了好油膩不習慣（可改沾醋）  
*但此次造訪跟服務生要了半天的醋都沒送  
  
麻辣湯頭吃多了有點油跟膩不太習慣，價格小貴

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
17,Hunger,4,2 個月前,"裝潢有特色的店 擺盤特別 東西都還行 缺點就是桌子太小了

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
18,Jackey良哥,5,2 個月前,"蔡記隆府的鴨血和豆腐非常好吃，入味且非常嫩！  
梅花豬肉的品質也不錯，但是CP值也高！服務人員親切 ~優惠期間非常推薦

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
19,Hong Lin,5,2 個月前,"舒適的用餐環境，配上好吃的鍋底,優惠期間推薦要前往的朋友可以點花枝漿、大腸頭、牛肚、牛筋

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
20,洪暘竣（吖俊）,5,2 個月前,"東西好吃 跟詹記味道很像 但比較便宜 且不用排隊~四人套餐送的梅花豬肉片一訂要來品嘗

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
21,QQ Ben,5,2 個月前,"鍋底鴨血滑嫩、豆腐入味而且是板豆腐，這點有加分。食材是單點，但同樣價位的可以雙併，對於兩個人想吃麻辣鍋的，相對划算，又可吃到多種食材。食材品質對的起價格，持別推薦、甜不辣、牛肚、肥腸以及套餐贈送的梅花豬肉片

",2022-11-21,https://www.google.com.tw/maps/place/%E8%94%A1%E8%A8%98%E9%9A%86%E5%BA%9C+%E9%BE%8D%E9%A0%AD%E5%AF%BA%E8%80%81%E7%81%B6%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf!8m2!3d25.055323!4d121.5270248!16s%2Fg%2F11h9y57r2g!19sChIJpwVL62epQjQRv4yx_f7o47A?authuser=0&hl=zh-TW&rclk=1,0x3442a967eb4b05a7:0xb0e3e8fefdb18cbf
