,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,言函,5,16 小時前,"輕鬆煮，蔬食吧吃到飽！推薦～

",2022-11-21,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E7%85%AE%E2%80%94+%E9%9B%99%E4%B8%BB%E9%A4%90%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a98fe9c2293d:0xcfbd0707a9451ef5!8m2!3d25.0580743!4d121.5313348!16s%2Fg%2F11j2h1gd8d!19sChIJPSnC6Y-pQjQR9R5FqQcHvc8?authuser=0&hl=zh-TW&rclk=1,0x3442a98fe9c2293d:0xcfbd0707a9451ef5
1,陳廷聿,5,17 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E7%85%AE%E2%80%94+%E9%9B%99%E4%B8%BB%E9%A4%90%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a98fe9c2293d:0xcfbd0707a9451ef5!8m2!3d25.0580743!4d121.5313348!16s%2Fg%2F11j2h1gd8d!19sChIJPSnC6Y-pQjQR9R5FqQcHvc8?authuser=0&hl=zh-TW&rclk=1,0x3442a98fe9c2293d:0xcfbd0707a9451ef5
2,陳映晴,5,17 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E7%85%AE%E2%80%94+%E9%9B%99%E4%B8%BB%E9%A4%90%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a98fe9c2293d:0xcfbd0707a9451ef5!8m2!3d25.0580743!4d121.5313348!16s%2Fg%2F11j2h1gd8d!19sChIJPSnC6Y-pQjQR9R5FqQcHvc8?authuser=0&hl=zh-TW&rclk=1,0x3442a98fe9c2293d:0xcfbd0707a9451ef5
3,嶺東周湯豪,5,17 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E7%85%AE%E2%80%94+%E9%9B%99%E4%B8%BB%E9%A4%90%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a98fe9c2293d:0xcfbd0707a9451ef5!8m2!3d25.0580743!4d121.5313348!16s%2Fg%2F11j2h1gd8d!19sChIJPSnC6Y-pQjQR9R5FqQcHvc8?authuser=0&hl=zh-TW&rclk=1,0x3442a98fe9c2293d:0xcfbd0707a9451ef5
4,leahla yang,4,17 小時前,"輕鬆煮 蔬食吧 吃到飽  
三人座位好可愛！  
但自助區有點太小需要排隊～

",2022-11-21,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E7%85%AE%E2%80%94+%E9%9B%99%E4%B8%BB%E9%A4%90%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a98fe9c2293d:0xcfbd0707a9451ef5!8m2!3d25.0580743!4d121.5313348!16s%2Fg%2F11j2h1gd8d!19sChIJPSnC6Y-pQjQR9R5FqQcHvc8?authuser=0&hl=zh-TW&rclk=1,0x3442a98fe9c2293d:0xcfbd0707a9451ef5
5,Chloe Chen,5,17 小時前,"輕鬆煮 蔬食吧 吃到飽，蔬菜很新鮮！

",2022-11-21,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E7%85%AE%E2%80%94+%E9%9B%99%E4%B8%BB%E9%A4%90%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a98fe9c2293d:0xcfbd0707a9451ef5!8m2!3d25.0580743!4d121.5313348!16s%2Fg%2F11j2h1gd8d!19sChIJPSnC6Y-pQjQR9R5FqQcHvc8?authuser=0&hl=zh-TW&rclk=1,0x3442a98fe9c2293d:0xcfbd0707a9451ef5
6,WEIYING LIN,5,19 小時前,"服務人員親切，食材多樣豐富

",2022-11-21,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E7%85%AE%E2%80%94+%E9%9B%99%E4%B8%BB%E9%A4%90%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a98fe9c2293d:0xcfbd0707a9451ef5!8m2!3d25.0580743!4d121.5313348!16s%2Fg%2F11j2h1gd8d!19sChIJPSnC6Y-pQjQR9R5FqQcHvc8?authuser=0&hl=zh-TW&rclk=1,0x3442a98fe9c2293d:0xcfbd0707a9451ef5
7,mintingL,5,19 小時前,"輕鬆煮 蔬食吧 吃到飽

",2022-11-21,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E7%85%AE%E2%80%94+%E9%9B%99%E4%B8%BB%E9%A4%90%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a98fe9c2293d:0xcfbd0707a9451ef5!8m2!3d25.0580743!4d121.5313348!16s%2Fg%2F11j2h1gd8d!19sChIJPSnC6Y-pQjQR9R5FqQcHvc8?authuser=0&hl=zh-TW&rclk=1,0x3442a98fe9c2293d:0xcfbd0707a9451ef5
8,陳姿伃,5,21 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E7%85%AE%E2%80%94+%E9%9B%99%E4%B8%BB%E9%A4%90%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a98fe9c2293d:0xcfbd0707a9451ef5!8m2!3d25.0580743!4d121.5313348!16s%2Fg%2F11j2h1gd8d!19sChIJPSnC6Y-pQjQR9R5FqQcHvc8?authuser=0&hl=zh-TW&rclk=1,0x3442a98fe9c2293d:0xcfbd0707a9451ef5
9,家耀,5,21 小時前,"好吃，吃素好地方！

",2022-11-21,https://www.google.com.tw/maps/place/%E8%BC%95%E9%AC%86%E7%85%AE%E2%80%94+%E9%9B%99%E4%B8%BB%E9%A4%90%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a98fe9c2293d:0xcfbd0707a9451ef5!8m2!3d25.0580743!4d121.5313348!16s%2Fg%2F11j2h1gd8d!19sChIJPSnC6Y-pQjQR9R5FqQcHvc8?authuser=0&hl=zh-TW&rclk=1,0x3442a98fe9c2293d:0xcfbd0707a9451ef5
