,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,ie J,5,1 天前,"品潔服務很好呦  
店內環境也很好

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
1,簡大鈞,5,1 天前,"餐點好吃服務業務很好，特別感謝品潔服務生，她真的是非常貼心，能夠解決我們的任何問題，  
也提供我們最好的服務！

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
2,黃明輝,5,2 天前,"服務員-品潔，超讚，服務好又超親切

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
3,Jo Y,5,2 天前,"讚嘆店員趙日維！！！  
服務態度佳、還會記得客人的客製化需求

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
4,huang william,5,2 天前,"今天是第二次前來，碰到了積極度高，笑容滿面，待人親切的趙日維先生，必須說他的服務水準比海底撈更加貼心積極！  
食物好吃再配上超級優質的服務實在是會讓我不停想回來造訪！  
謝謝你 趙先生

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
5,raison chen,5,2 天前,"品潔服務很好！用餐很愉快

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
6,周韻文,5,2 天前,"餐點好吃！大推服務員品潔～

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
7,Emily Lin,5,2 天前,"品潔很棒！服務100分！

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
8,香蕉,5,2 天前,"服務員（品潔）服務極佳、餐點好吃、店內氣氛不錯

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
9,郭瓊嬅,5,2 天前,"品潔服務很好，很細心的微笑女孩 謝謝妳親切的服務。餐點一如往常的好吃。

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
10,Andrea Sachs,5,2 天前,"品潔讚 謝謝店員迅速又親切的服務  
貴妃荔枝蝦球本來只是因為店員推薦點的新品  
實際吃很驚艷 好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
11,陳銘銘,5,2 天前,"好吃，品潔的服務也很好，推薦了一道貴妃荔枝蝦球真的很好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
12,洪啟恩,5,3 天前,"今天與女友來用餐從訂位到入座所有的細微服務都做的很到位，日維與小楊服務非常好
很高興能在今天給兩位服務，下一次還會再帶朋友與家人一同用餐，我吃遍各種高級餐廳有的都沒有他們服務來的好，真的非常難人可貴。

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
13,Alice Hsu,5,3 天前,"小楊服務超親切，菜單細心介紹，鍋物美味，已經來好幾次了，是一間會讓人想再次消費的店

",2022-11-21,https://www.google.com.tw/maps/place/%E9%80%99%E4%B8%80%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%90%89%E6%9E%97%E6%AE%BF/data=!4m7!3m6!1s0x3442a95dcb0cb427:0xef01e19c9b9b7cea!8m2!3d25.0581447!4d121.5300977!16s%2Fg%2F1pzrws09l!19sChIJJ7QMy12pQjQR6nybm5zhAe8?authuser=0&hl=zh-TW&rclk=1,0x3442a95dcb0cb427:0xef01e19c9b9b7cea
