,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Chuang Paul,4,3 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%87%91%E9%8D%8B%E7%9B%83x%E6%96%8C%E7%95%B6%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a95dc439823d:0x2d308f604e78c085!8m2!3d25.057505!4d121.5303383!16s%2Fg%2F1hc79c73q!19sChIJPYI5xF2pQjQRhcB4TmCPMC0?authuser=0&hl=zh-TW&rclk=1,0x3442a95dc439823d:0x2d308f604e78c085
1,May Yao,5,1 週前,"可以讓狗狗坐在飼主身邊的寵物友善餐廳。  
  
訂位告知會帶寵物去，店家即會安排適合的位子，讓飼主跟狗狗一起快樂用餐。  
  
店家會幫狗狗準備一份水煮肉餐點，另外在點餐時也可以更換成清水鍋底，安心涮肉片給寵物吃，店家有準備寵物碗供寵物使用，對於是否和寵物共用餐具而有疑慮的人大可放心。  
因為怕狗狗太開心失控弄髒椅子，我們有自備看護墊讓狗狗在上面用餐  
  
撇除寵物友善的部分，今天點的海鮮食材不僅新鮮，肉質也是無可挑惕，油花光是看了就好有食慾 飲料區竟然還是外面少見的蜂蜜水跟檸檬水（太天然了吧 ）  
  
不僅是用餐空間，連候位區都很難得的寬敞舒適，最怕遇到餐廳廁所很可怕影響食慾，沒想到廁所乾淨到讓我懷疑這家店是不是有潔癖  
  
以今天的用餐經驗來說，絕對絕對還會再來光顧的！

",2022-11-21,https://www.google.com.tw/maps/place/%E9%87%91%E9%8D%8B%E7%9B%83x%E6%96%8C%E7%95%B6%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a95dc439823d:0x2d308f604e78c085!8m2!3d25.057505!4d121.5303383!16s%2Fg%2F1hc79c73q!19sChIJPYI5xF2pQjQRhcB4TmCPMC0?authuser=0&hl=zh-TW&rclk=1,0x3442a95dc439823d:0x2d308f604e78c085
2,Yao Peter,3,1 週前,"整體來說cp值不高

",2022-11-21,https://www.google.com.tw/maps/place/%E9%87%91%E9%8D%8B%E7%9B%83x%E6%96%8C%E7%95%B6%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a95dc439823d:0x2d308f604e78c085!8m2!3d25.057505!4d121.5303383!16s%2Fg%2F1hc79c73q!19sChIJPYI5xF2pQjQRhcB4TmCPMC0?authuser=0&hl=zh-TW&rclk=1,0x3442a95dc439823d:0x2d308f604e78c085
3,I-Fan Huang,4,1 週前,"東西不錯食材新鮮 用餐環境舒適 價格有反應在這些東西上面 還算是挺不錯的小火鍋店

",2022-11-21,https://www.google.com.tw/maps/place/%E9%87%91%E9%8D%8B%E7%9B%83x%E6%96%8C%E7%95%B6%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a95dc439823d:0x2d308f604e78c085!8m2!3d25.057505!4d121.5303383!16s%2Fg%2F1hc79c73q!19sChIJPYI5xF2pQjQRhcB4TmCPMC0?authuser=0&hl=zh-TW&rclk=1,0x3442a95dc439823d:0x2d308f604e78c085
4,Nicholas Lin,5,1 週前,"來很多次，都忘了給評價，服務態度不錯，肉質也可以，東西都好吃，生蠔超划算，個人認為是這附近同類型火鍋第一名

",2022-11-21,https://www.google.com.tw/maps/place/%E9%87%91%E9%8D%8B%E7%9B%83x%E6%96%8C%E7%95%B6%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a95dc439823d:0x2d308f604e78c085!8m2!3d25.057505!4d121.5303383!16s%2Fg%2F1hc79c73q!19sChIJPYI5xF2pQjQRhcB4TmCPMC0?authuser=0&hl=zh-TW&rclk=1,0x3442a95dc439823d:0x2d308f604e78c085
5,陳怡文,5,1 週前,"湯頭清新無添加的加工原料

",2022-11-21,https://www.google.com.tw/maps/place/%E9%87%91%E9%8D%8B%E7%9B%83x%E6%96%8C%E7%95%B6%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a95dc439823d:0x2d308f604e78c085!8m2!3d25.057505!4d121.5303383!16s%2Fg%2F1hc79c73q!19sChIJPYI5xF2pQjQRhcB4TmCPMC0?authuser=0&hl=zh-TW&rclk=1,0x3442a95dc439823d:0x2d308f604e78c085
6,The Tank,5,2 週前,"海鮮高檔新鮮，一男一女點雙人套餐吃的很飽，「真」寵物友善餐廳給推，狗狗可以一起坐在沙發，還有一碗免費的水煮肉可以給狗狗吃，環境裝潢都讓人很舒服，服務也很不錯，會想再來☺️

",2022-11-21,https://www.google.com.tw/maps/place/%E9%87%91%E9%8D%8B%E7%9B%83x%E6%96%8C%E7%95%B6%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a95dc439823d:0x2d308f604e78c085!8m2!3d25.057505!4d121.5303383!16s%2Fg%2F1hc79c73q!19sChIJPYI5xF2pQjQRhcB4TmCPMC0?authuser=0&hl=zh-TW&rclk=1,0x3442a95dc439823d:0x2d308f604e78c085
7,葉雲漪,5,2 週前,"海鮮非常鮮又很肥美，讚！！

",2022-11-21,https://www.google.com.tw/maps/place/%E9%87%91%E9%8D%8B%E7%9B%83x%E6%96%8C%E7%95%B6%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a95dc439823d:0x2d308f604e78c085!8m2!3d25.057505!4d121.5303383!16s%2Fg%2F1hc79c73q!19sChIJPYI5xF2pQjQRhcB4TmCPMC0?authuser=0&hl=zh-TW&rclk=1,0x3442a95dc439823d:0x2d308f604e78c085
8,詹咻咻,2,2 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%87%91%E9%8D%8B%E7%9B%83x%E6%96%8C%E7%95%B6%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a95dc439823d:0x2d308f604e78c085!8m2!3d25.057505!4d121.5303383!16s%2Fg%2F1hc79c73q!19sChIJPYI5xF2pQjQRhcB4TmCPMC0?authuser=0&hl=zh-TW&rclk=1,0x3442a95dc439823d:0x2d308f604e78c085
9,仲恩邱,5,2 週前,"讚

",2022-11-21,https://www.google.com.tw/maps/place/%E9%87%91%E9%8D%8B%E7%9B%83x%E6%96%8C%E7%95%B6%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3442a95dc439823d:0x2d308f604e78c085!8m2!3d25.057505!4d121.5303383!16s%2Fg%2F1hc79c73q!19sChIJPYI5xF2pQjQRhcB4TmCPMC0?authuser=0&hl=zh-TW&rclk=1,0x3442a95dc439823d:0x2d308f604e78c085
