,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,林泓彣,5,1 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%9A%B1%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9837277519b:0x41c5511d39dfc550!8m2!3d25.0569717!4d121.5262591!16s%2Fg%2F11j10qcx16!19sChIJm1F3coOpQjQRUMXfOR1RxUE?authuser=0&hl=zh-TW&rclk=1,0x3442a9837277519b:0x41c5511d39dfc550
1,Kiki L,4,1 天前,"有先爬文得知高評價來自打卡送東西。但實際吃後並沒有覺得像多數負評講的那樣糟糕。  
  
醬料區都有補齊，超推檸檬柚子醬。  
廁所非常乾淨。  
湯底點了麻辣，吃到最後不會膩，只不過沒有含鴨血就是了。松阪豬非常嫩Q好吃。

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9A%B1%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9837277519b:0x41c5511d39dfc550!8m2!3d25.0569717!4d121.5262591!16s%2Fg%2F11j10qcx16!19sChIJm1F3coOpQjQRUMXfOR1RxUE?authuser=0&hl=zh-TW&rclk=1,0x3442a9837277519b:0x41c5511d39dfc550
2,Tiffany,1,3 天前,"杯子隨便擦都這麼髒，而且我拿兩個，一樣髒。我自己還拿去洗手間洗過才敢用。店家用心清潔好嗎？沒有洗乾淨的把握就提供免洗杯吧

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9A%B1%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9837277519b:0x41c5511d39dfc550!8m2!3d25.0569717!4d121.5262591!16s%2Fg%2F11j10qcx16!19sChIJm1F3coOpQjQRUMXfOR1RxUE?authuser=0&hl=zh-TW&rclk=1,0x3442a9837277519b:0x41c5511d39dfc550
3,張凱閎,5,4 天前,"服務好

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9A%B1%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9837277519b:0x41c5511d39dfc550!8m2!3d25.0569717!4d121.5262591!16s%2Fg%2F11j10qcx16!19sChIJm1F3coOpQjQRUMXfOR1RxUE?authuser=0&hl=zh-TW&rclk=1,0x3442a9837277519b:0x41c5511d39dfc550
4,Amy,1,4 天前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%9A%B1%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9837277519b:0x41c5511d39dfc550!8m2!3d25.0569717!4d121.5262591!16s%2Fg%2F11j10qcx16!19sChIJm1F3coOpQjQRUMXfOR1RxUE?authuser=0&hl=zh-TW&rclk=1,0x3442a9837277519b:0x41c5511d39dfc550
5,林國全,5,5 天前,"五星好評 生日來吃

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9A%B1%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9837277519b:0x41c5511d39dfc550!8m2!3d25.0569717!4d121.5262591!16s%2Fg%2F11j10qcx16!19sChIJm1F3coOpQjQRUMXfOR1RxUE?authuser=0&hl=zh-TW&rclk=1,0x3442a9837277519b:0x41c5511d39dfc550
6,Korius,4,1 週前,"(由 Google 提供翻譯)
現代，時尚，乾淨的好火鍋的地方。他們有很多湯底可供選擇（蒜蓉蛤蜊是他們的特色菜，味道鮮美又不會太蒜味）。你在這裡找不到像和牛這樣的高檔肉類，但老實說，我一點也不介意，因為對我來說，火鍋的全部意義在於通過肉湯和醬汁提升普通食材的含量。  
  
他們的一些綠葉蔬菜有黑點，你會想先把它們撕掉，我想他們可以多僱一個工人，但除此之外，我絕對會推薦給那些想在不破壞鍋的情況下享受美味火鍋的人銀行。  
  
此外，他們不再賣酒，因為在紅燈區，他們發生了太多吵鬧的醉漢事件，給每個人帶來了麻煩。歡迎您從附近的 7-11 帶來自己的啤酒，但我不確定是否需要額外付費。  
  
(原始評論)  
modern, sleek, and clean place for good hot pot. they have a great selection
of soup bases (garlic clam is their specialty, and it’s flavorful without
being too garlicky). you won’t find any fancy meats like wagyu here but
honestly i don’t mind that at all because to me the whole point of hot pot is
elevating normal ingredients through the broth and sauce.  
  
some of their leafy vegetables have dark spots that you’ll want to tear off
first, and i think they could use an extra worker, but otherwise this is
definitely a place i would recommend for people looking to have an enjoyable
hot pot without breaking the bank.  
  
also, they no longer sell alcohol because, being in a red light district, they
have had far too many incidents of rowdy drunks causing problems for everyone.
you’re welcome to bring in your own beer from the nearby 7-11, though i’m not
sure if there’s an additional fee involved.

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9A%B1%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9837277519b:0x41c5511d39dfc550!8m2!3d25.0569717!4d121.5262591!16s%2Fg%2F11j10qcx16!19sChIJm1F3coOpQjQRUMXfOR1RxUE?authuser=0&hl=zh-TW&rclk=1,0x3442a9837277519b:0x41c5511d39dfc550
7,李季樺,4,1 週前,"下午時間沒什麼人，服務可能就沒有很好，點了ㄧ鍋蒜頭蛤蜊鍋，鍋子邊緣很燙，服務員也沒提醒，當要去把鍋子移動擺正就被燙傷了，希望之後會提醒鍋子耳朵會燙傷。  
松阪豬薄片很好吃

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9A%B1%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9837277519b:0x41c5511d39dfc550!8m2!3d25.0569717!4d121.5262591!16s%2Fg%2F11j10qcx16!19sChIJm1F3coOpQjQRUMXfOR1RxUE?authuser=0&hl=zh-TW&rclk=1,0x3442a9837277519b:0x41c5511d39dfc550
8,洪豆尼,5,1 週前,"非常棒呦

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9A%B1%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9837277519b:0x41c5511d39dfc550!8m2!3d25.0569717!4d121.5262591!16s%2Fg%2F11j10qcx16!19sChIJm1F3coOpQjQRUMXfOR1RxUE?authuser=0&hl=zh-TW&rclk=1,0x3442a9837277519b:0x41c5511d39dfc550
9,李信賢（eggegg）,5,1 週前,"物超所值！

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9A%B1%E9%8D%8B+%E5%8F%B0%E5%8C%97%E6%9E%97%E6%A3%AE%E5%8C%97%E8%B7%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9837277519b:0x41c5511d39dfc550!8m2!3d25.0569717!4d121.5262591!16s%2Fg%2F11j10qcx16!19sChIJm1F3coOpQjQRUMXfOR1RxUE?authuser=0&hl=zh-TW&rclk=1,0x3442a9837277519b:0x41c5511d39dfc550
