,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,H. L,4,15 小時前,"拜訪日期：Nov/08/2022  
  
有三種湯可選擇，我們四個人都點白蘭地口味  
菜盤裡面都是原型食物，沒有加工品  
我覺得很棒☺️☺️ 很喜歡  
湯頭跟肉都好吃，另外加點的腐皮搭配湯煮會吸附湯汁，吃起來也很美味

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9B%9E%E6%B9%AF%E5%A4%A7%E5%8F%94+%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a95e8bff3255:0x889494f2d0e237d!8m2!3d25.0580893!4d121.5323897!16s%2Fg%2F11fzfffn0y!19sChIJVTL_i16pQjQRfSMOLU9JiQg?authuser=0&hl=zh-TW&rclk=1,0x3442a95e8bff3255:0x889494f2d0e237d
1,廖咨宥,1,19 小時前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%9B%9E%E6%B9%AF%E5%A4%A7%E5%8F%94+%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a95e8bff3255:0x889494f2d0e237d!8m2!3d25.0580893!4d121.5323897!16s%2Fg%2F11fzfffn0y!19sChIJVTL_i16pQjQRfSMOLU9JiQg?authuser=0&hl=zh-TW&rclk=1,0x3442a95e8bff3255:0x889494f2d0e237d
2,謝宜霖,5,2 天前,"服務很好 服務人員叫娟姐 愉慧

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9B%9E%E6%B9%AF%E5%A4%A7%E5%8F%94+%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a95e8bff3255:0x889494f2d0e237d!8m2!3d25.0580893!4d121.5323897!16s%2Fg%2F11fzfffn0y!19sChIJVTL_i16pQjQRfSMOLU9JiQg?authuser=0&hl=zh-TW&rclk=1,0x3442a95e8bff3255:0x889494f2d0e237d
3,Ji CL,5,4 天前,"台北必吃火鍋店之一，記得一定要訂位，用餐前會先給幾杯雞湯試喝看看，這點很棒。

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9B%9E%E6%B9%AF%E5%A4%A7%E5%8F%94+%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a95e8bff3255:0x889494f2d0e237d!8m2!3d25.0580893!4d121.5323897!16s%2Fg%2F11fzfffn0y!19sChIJVTL_i16pQjQRfSMOLU9JiQg?authuser=0&hl=zh-TW&rclk=1,0x3442a95e8bff3255:0x889494f2d0e237d
4,酸甜小鳳梨,5,5 天前,"超好吃！難怪連平日晚上人也超多的，建議要來吃的人可以先網路訂位，不然可能會等比較久！  
  
第一次遇到有火鍋店會讓客人先試喝湯頭，再來選擇湯頭口味的，覺得這部分好貼心啊！當然大叔的湯頭也非常的特殊，不像外面一般火鍋店比較大眾的湯底口味，真心推薦大家來嚐嚐！  
  
另外，菜盤部分我個人本身不吃火鍋料，結果大叔也是走一個健康派路線，他們的菜盤是沒有火鍋料的！蔬菜部分也給的很大方不怕吃不飽！  
  
主食的肉跟海鮮也都非常新鮮，份量也很充足，怪不得每家分店都這麼多人不是沒原因的  
  
非常推推的火鍋店！店裡員工服務態度也都超好的

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9B%9E%E6%B9%AF%E5%A4%A7%E5%8F%94+%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a95e8bff3255:0x889494f2d0e237d!8m2!3d25.0580893!4d121.5323897!16s%2Fg%2F11fzfffn0y!19sChIJVTL_i16pQjQRfSMOLU9JiQg?authuser=0&hl=zh-TW&rclk=1,0x3442a95e8bff3255:0x889494f2d0e237d
5,葉雅馨,5,5 天前,"完全沒有火鍋料的健康菜盤，食材非常新鮮。  
選擇湯底之前有試飲、很特別，但真的上桌後，好像比試飲的淡很多

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9B%9E%E6%B9%AF%E5%A4%A7%E5%8F%94+%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a95e8bff3255:0x889494f2d0e237d!8m2!3d25.0580893!4d121.5323897!16s%2Fg%2F11fzfffn0y!19sChIJVTL_i16pQjQRfSMOLU9JiQg?authuser=0&hl=zh-TW&rclk=1,0x3442a95e8bff3255:0x889494f2d0e237d
6,Ethan Chen,5,1 週前,"湯頭優秀，服務到位。

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9B%9E%E6%B9%AF%E5%A4%A7%E5%8F%94+%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a95e8bff3255:0x889494f2d0e237d!8m2!3d25.0580893!4d121.5323897!16s%2Fg%2F11fzfffn0y!19sChIJVTL_i16pQjQRfSMOLU9JiQg?authuser=0&hl=zh-TW&rclk=1,0x3442a95e8bff3255:0x889494f2d0e237d
7,杜賓,4,1 週前,"生意很好 營業時間到滿晚的+分!最喜歡白蘭地燉雞湯 每鍋都有煎過的幾塊雞腿排 非常香嫩 配上原本點的菜是很夠吃!飲料喜歡配麥茶 還有飯後水果 整體滿意
白蘭地湯越煮越濃醇香甜 完全無酒味!非常好喝~ CP值高的餐廳 回訪好幾次了

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9B%9E%E6%B9%AF%E5%A4%A7%E5%8F%94+%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a95e8bff3255:0x889494f2d0e237d!8m2!3d25.0580893!4d121.5323897!16s%2Fg%2F11fzfffn0y!19sChIJVTL_i16pQjQRfSMOLU9JiQg?authuser=0&hl=zh-TW&rclk=1,0x3442a95e8bff3255:0x889494f2d0e237d
8,Jing Ru,5,1 週前,"雞湯好喝，點了白蘭地鍋，很特別，微微濃郁的湯頭，雞腿排好吃 ❤

",2022-11-21,https://www.google.com.tw/maps/place/%E9%9B%9E%E6%B9%AF%E5%A4%A7%E5%8F%94+%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a95e8bff3255:0x889494f2d0e237d!8m2!3d25.0580893!4d121.5323897!16s%2Fg%2F11fzfffn0y!19sChIJVTL_i16pQjQRfSMOLU9JiQg?authuser=0&hl=zh-TW&rclk=1,0x3442a95e8bff3255:0x889494f2d0e237d
9,Lin Mars,4,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%9B%9E%E6%B9%AF%E5%A4%A7%E5%8F%94+%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m7!3m6!1s0x3442a95e8bff3255:0x889494f2d0e237d!8m2!3d25.0580893!4d121.5323897!16s%2Fg%2F11fzfffn0y!19sChIJVTL_i16pQjQRfSMOLU9JiQg?authuser=0&hl=zh-TW&rclk=1,0x3442a95e8bff3255:0x889494f2d0e237d
