,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Dylan T,4,2 週前,"可能是肉分開炒少了石頭火鍋該有的香氣。食材還不錯。

",2022-11-21,https://www.google.com.tw/maps/place/%E9%A7%85%E5%89%8D%E5%82%B3%E7%B5%B1%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967c2e2b1ab:0xa2741683551b3448!8m2!3d25.054795!4d121.5264385!16s%2Fg%2F1td1s49z!19sChIJq7HiwmepQjQRSDQbVYMWdKI?authuser=0&hl=zh-TW&rclk=1,0x3442a967c2e2b1ab:0xa2741683551b3448
1,王小惠,5,2 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%A7%85%E5%89%8D%E5%82%B3%E7%B5%B1%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967c2e2b1ab:0xa2741683551b3448!8m2!3d25.054795!4d121.5264385!16s%2Fg%2F1td1s49z!19sChIJq7HiwmepQjQRSDQbVYMWdKI?authuser=0&hl=zh-TW&rclk=1,0x3442a967c2e2b1ab:0xa2741683551b3448
2,nick tseng,5,2 週前,"湯頭好，老闆服務親切又專業，環境放鬆。真推！傳統現場炒肉鍋底

",2022-11-21,https://www.google.com.tw/maps/place/%E9%A7%85%E5%89%8D%E5%82%B3%E7%B5%B1%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967c2e2b1ab:0xa2741683551b3448!8m2!3d25.054795!4d121.5264385!16s%2Fg%2F1td1s49z!19sChIJq7HiwmepQjQRSDQbVYMWdKI?authuser=0&hl=zh-TW&rclk=1,0x3442a967c2e2b1ab:0xa2741683551b3448
3,Daily天天,5,2 週前,"全台北市最好吃的石頭火鍋，服務親切很有人情味。

",2022-11-21,https://www.google.com.tw/maps/place/%E9%A7%85%E5%89%8D%E5%82%B3%E7%B5%B1%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967c2e2b1ab:0xa2741683551b3448!8m2!3d25.054795!4d121.5264385!16s%2Fg%2F1td1s49z!19sChIJq7HiwmepQjQRSDQbVYMWdKI?authuser=0&hl=zh-TW&rclk=1,0x3442a967c2e2b1ab:0xa2741683551b3448
4,Meg Ou,5,3 週前,"超過幾十年的老店  
雖然地點裝潢改變了  
味道卻一直沒改變  
還有沒變的是老闆員工們的服務與親切

",2022-11-21,https://www.google.com.tw/maps/place/%E9%A7%85%E5%89%8D%E5%82%B3%E7%B5%B1%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967c2e2b1ab:0xa2741683551b3448!8m2!3d25.054795!4d121.5264385!16s%2Fg%2F1td1s49z!19sChIJq7HiwmepQjQRSDQbVYMWdKI?authuser=0&hl=zh-TW&rclk=1,0x3442a967c2e2b1ab:0xa2741683551b3448
5,melody chu,5,3 週前,"最喜歡吃又道地的石頭火鍋  
每次吃完都很滿足

",2022-11-21,https://www.google.com.tw/maps/place/%E9%A7%85%E5%89%8D%E5%82%B3%E7%B5%B1%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967c2e2b1ab:0xa2741683551b3448!8m2!3d25.054795!4d121.5264385!16s%2Fg%2F1td1s49z!19sChIJq7HiwmepQjQRSDQbVYMWdKI?authuser=0&hl=zh-TW&rclk=1,0x3442a967c2e2b1ab:0xa2741683551b3448
6,대만길잡이대길大吉,5,3 週前,"(由 Google 提供翻譯) 良好的品味和友好的員工  
堅不可摧的石火  
店員也照顧照顧  
  
(原始評論)  
맛도 좋고 직원들도 친절한 훠궈집  
不錯的石頭火鍋  
店員也都很親切

",2022-11-21,https://www.google.com.tw/maps/place/%E9%A7%85%E5%89%8D%E5%82%B3%E7%B5%B1%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967c2e2b1ab:0xa2741683551b3448!8m2!3d25.054795!4d121.5264385!16s%2Fg%2F1td1s49z!19sChIJq7HiwmepQjQRSDQbVYMWdKI?authuser=0&hl=zh-TW&rclk=1,0x3442a967c2e2b1ab:0xa2741683551b3448
7,MML,5,3 週前,"「當沙茶不再搶著做主角」  
沙茶牛肉火鍋裡，唯一一家吃過牛肉與沙茶搭配起來非常平衡的，完全不會搶掉任何一方的滋味。  
  
湯頭甘甜清爽，蔬菜也都各個是嚴選，牛肚脆口無異味，店員相當熱情，就像是回家吃飯的感覺  
  
推薦的絕對是沙茶牛肉與牛肚，但是玉米更是選中之選，魚餃也是！  
  
更多餐廳評論IG : lonely_tpe

",2022-11-21,https://www.google.com.tw/maps/place/%E9%A7%85%E5%89%8D%E5%82%B3%E7%B5%B1%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967c2e2b1ab:0xa2741683551b3448!8m2!3d25.054795!4d121.5264385!16s%2Fg%2F1td1s49z!19sChIJq7HiwmepQjQRSDQbVYMWdKI?authuser=0&hl=zh-TW&rclk=1,0x3442a967c2e2b1ab:0xa2741683551b3448
8,Melody Sun,5,4 週前,"湯味道可以在濃郁

",2022-11-21,https://www.google.com.tw/maps/place/%E9%A7%85%E5%89%8D%E5%82%B3%E7%B5%B1%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967c2e2b1ab:0xa2741683551b3448!8m2!3d25.054795!4d121.5264385!16s%2Fg%2F1td1s49z!19sChIJq7HiwmepQjQRSDQbVYMWdKI?authuser=0&hl=zh-TW&rclk=1,0x3442a967c2e2b1ab:0xa2741683551b3448
9,榆,5,4 週前,"我想吃石頭鍋的第一首選。

",2022-11-21,https://www.google.com.tw/maps/place/%E9%A7%85%E5%89%8D%E5%82%B3%E7%B5%B1%E7%9F%B3%E9%A0%AD%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3442a967c2e2b1ab:0xa2741683551b3448!8m2!3d25.054795!4d121.5264385!16s%2Fg%2F1td1s49z!19sChIJq7HiwmepQjQRSDQbVYMWdKI?authuser=0&hl=zh-TW&rclk=1,0x3442a967c2e2b1ab:0xa2741683551b3448
