,author_name,personal_rating,review_date,review_text,review_acquisition_date,google_url,biz_id
0,Chia Yu Huang,5,1 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
1,Charline (夏林),4,2 週前,"口味正宗因此很辣，平時愛吃辣的我都有點退縮，來吃之前請做好心理準備！食材偏貴，且份量無法調整，建議三人以上會比較划算且可以吃到多一點食材。  
老闆人很體貼 ，觀察到客人心情還特別附贈甜品，而且說話很幽默！

",2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
2,TOYOHARA,4,2 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
3,林韋銘,5,3 週前,"好ㄘ

",2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
4,吳孟哲,1,3 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
5,Annie Hung,5,4 週前,"好好吃 吃完才想到

",2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
6,T Hirohata,5,4 週前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
7,史秉然,5,1 個月前,"老闆有趣，一種 ，適合喝酒聊天

",2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
8,ChiYuan Chang,5,1 個月前,"食材新鮮，老闆跟朋友一樣親切，尤其隱藏菜單拔絲地瓜！

",2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
9,Jane Chen,1,1 個月前,"很臭

",2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
10,‫إبراهيم عبدالله‬‎,5,1 個月前,"(由 Google 提供翻譯) 絕對是五顆星等級的麻辣火鍋 除了鍋也別忘了煮炒類的單點川菜 古色古香的佈置和家具都是老闆的巧思 老闆很兇大家真的別誤會
只是老闆跟客人表達親切感互動的方式 老闆也會主動跟客人一同坐下飲兩杯吃兩口  
  
(原始評論)  
绝对是五颗星等级的麻辣火锅 除了锅也别忘了煮炒类的单点川菜 古色古香的布置和家具都是老板的巧思 老板很凶大家真的别误会 只是老板跟客人表达亲切感互动的方式
老板也会主动跟客人一同坐下饮两杯吃两口

",2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
11,四系乃,5,1 個月前,,2022-11-21,https://www.google.com.tw/maps/place/%E9%AD%AF%E6%97%A6%E5%B7%9D%E9%8D%8B/data=!4m7!3m6!1s0x3442abd5f50e42dd:0x283d747ca3ae739b!8m2!3d25.0528727!4d121.5364176!16s%2Fg%2F1tdfwf24!19sChIJ3UIO9dWrQjQRm3Ouo3x0PSg?authuser=0&hl=zh-TW&rclk=1,0x3442abd5f50e42dd:0x283d747ca3ae739b
